Seq No.,UDISE Code,School Name,School Location
1,36231501307,KGBV KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
2,36231501401,ZPHS CHOWLAPALLY,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
3,36231501308,VASISTA VIDYALAYAM HS KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
4,36231500805,ZPHS VEMULANARVA,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
5,36231500605,ZPHS KOTHAPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
6,36231501602,ZPHS KAKUNOOR,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
7,36231501804,ZPHS NIRDAVALLY,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
8,36231500104,ZPHS PAPIREDDY GUDA,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
9,36231500305,ZPHS EKLASKHANPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
10,36231500705,MARY IMMAUCULATE HS (EM) PATIGADDA,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
11,36231500110,HERITAGE V PAPIREDDIGUDA,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
12,36231501310,MJPTBCWREIS KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
13,36231501305,ADARSA KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
