Seq No.,UDISE Code,School Name,School Location
1,36232300502,ZPHS PENJERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
2,36232301124,TWREIS SCHOOL (BOYS)KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
3,36232300605,ZPHS INMULNARVA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
4,36232301118,KGBV KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
5,36232301004,ZPHS SIDDAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
6,36232301111,ZPHS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
7,36232301112,AIDED FATIMA HS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
8,36232301115,MONTISSORI EM KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
9,36232300303,SHANTHIKETHAN MODEL HIGH SCHOOL THIMMAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
10,36232301116,PS KRISHNAVENI KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
11,36232301114,LITTLE ANGELS HIGH SCHOOL KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
12,36232301125,CHANDAMAMA RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
13,36232301119,"HS SUNSHINE MODEL, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
