Seq No.,UDISE Code,School Name,School Location
1,36232000502,ZPHS CHANDANAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
2,36232002402,"KGBV SCHOOL, NAZEEBNAGAR","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
3,36232000605,TSWREIS CHILKUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
4,36232000806,ZPHS AZIZ NAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
5,36232000703,ZPHS HIMAYATHNAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
6,36241200309,TSWREIS GIRLS BANTWARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
7,36232000604,ZPHS CHILKUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
8,36232002214,"KAKATIYA HIGH SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
9,36232001902,ZPHS VENKATAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
10,36232001804,ZPHS KETHIREDDYPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
11,36232000205,ZPHS CHINNAMANGALARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
12,36232002104,ZPHS KANAKAMAMIDI,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
13,36232001203,ZPHS PEDDAMANGALARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
14,36232002219,CHALLENGER JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
15,36232002209,"LOYOLA HIGH SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
16,36232000807,ACTS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
17,36232002211,"RAINBOW SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
18,36232001006,THE GOOD SHEPHERED (EM) SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
19,36232002212,CHALLENGER INTERNATIONAL SCHOOL (HS),"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
20,36232002210,BHARATH TEJA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
21,36232002217,SIDDHARTHA JR. COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
22,36232000611,SHIVA SAI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
23,36232000808,SREENIDHI INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
24,36232000713,NTR JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
25,36232000815,CREEKSIDE INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
26,36232000705,NTR MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
27,36232000610,"SVR SCHOOL, Chilkoor","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
28,36232001013,SREE SWAMINARAYAN GURUKUL VIDYALAYA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
29,36232000710,MESCO NEW MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
30,36232000714,MELUHA JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
31,36232002208,"LITTLE STARS HIGH SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
32,36232000711,SLOKA THE HYDERABAD WALDORF SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
33,36232002602,SUJATHA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
34,36232000715,NTR Model High Schools,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
