Seq No.,UDISE Code,School Name,School Location
1,36230401203,ZPHS BUDVEL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
2,36230400604,ZPHS MAILAR DEVPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
3,36230401725,GOVT. HS RAJENDRANGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
4,36230401759,NEW MOON HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
5,36230400303,ZPHS SHIVARAMPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
6,36230401854,"SR DIGI SCHOOL, Attapur","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
7,36230401504,ZPHS ATTAPUR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
8,36230400902,SRI NARAYANA SCHOOL (KATEDAAN),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
9,36230401908,"NEW BRILLIANT HIGH SCHOOL, Upperpally","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
10,36230401762,SRI VIDYA NIKETAN HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
11,36230401792,LOYOLA MODEL HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
12,36230401884,"BASHYAM HIGH SCHOOL, Attapur","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
13,36230401823,BHANODAYA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
14,36230401789,CHAITANY BHARATHI HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
15,36230401790,SRI VIDYANIKETAN HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
16,36230401837,INDIAN MISSION SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
17,36230401875,KAKATIYA HIGH SCHOOL (HS),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
18,36230401730,HYDERABAD SCOTS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
19,36230401885,GEETANJALI GRAMMER SCHOOL (SAI BABA NAGAR),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
20,36230401814,KRISHNAVENI TALENT HS (ATTAPUR),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
21,36230401934,BHAVISHYAA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
22,36230401901,ADITYA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
23,36230401899,"SRI CHAITANYA SCHOOL, Hyderguda","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
24,36230401811,KRISHNAVENI TALENT HS (MYLARDEV PALLY),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
25,36230401894,BRIGHT FUTURE HIGH SCHOOL (HASSAN NAGAR),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
26,36230401853,"SRI CHAITANYA HIGH SCHOOL, Upperpally","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
27,36230401806,VIJETHA SCHOOL HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
28,36230401883,RAVINDRA BHARATHI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
29,36230401879,SREE GAYATHRI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
30,36230401920,NARAYANA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
31,36230401510,Oakland School of Excellence,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
32,36230401841,NRI GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
33,36230401766,PIONEER CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
34,36230401737,"ADARSH VIDYALAYA, HS RAJENDRANAGAR","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
35,36230401739,SPRING FIELD HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
36,36230401786,AMAR INTERNATIONAL HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
37,36230401736,SEVEN EIGHT SIX CONVENT S,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
38,36230401813,ST.ANTHONY C & C HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
39,36230401876,LOVELY HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
40,36230400903,"KAKATIYA HIGH SCHOOL, Mylardevpally","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
41,36230401843,"GOWTHAM MODEL SCHOOL, Hyderguda","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
42,36230401878,S.H CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
43,36230401794,SPRING DALES GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
44,36230401729,SRI NIKETAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
45,36230400607,SREE MEDHA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
