Seq No.,UDISE Code,School Name,School Location
1,36232200406,ZPHS TADLAPALLY,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
2,36232202030,KGBV SHABAD,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
3,36232202204,ZPHS SARDARNAGAR,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
4,36232202021,ZPHS SHABAD(B),"State : Telangana
District : RANGAREDDY
Block : SHABAD"
5,36232202104,ZPHS MANMARRY,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
6,36232202022,ZPHS SHABAD(G),"State : Telangana
District : RANGAREDDY
Block : SHABAD"
7,36232200409,"SRI CHAITANYA HIGH SCHOOL, NAGARGUDA","State : Telangana
District : RANGAREDDY
Block : SHABAD"
8,36232200905,MIRIUM UPPER PRIMARY,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
9,36232201603,ZPHS POTHUGAL,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
10,36232201703,ZPHS REGADDOSWADA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
11,36232200704,ZPHS HYTHABAD,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
12,36232202023,NAVAJEEVAN. H. SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
13,36232202024,HOLY SPIRIT HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
14,36232202036,SUMEDHAS MONTESSORI (E/M),"State : Telangana
District : RANGAREDDY
Block : SHABAD"
15,36232202032,DHYANAHITHA HIGH SCHOOL SHABAD,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
16,36232202028,SRI SARASWATI SISHU HS,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
17,36232202037,TSMS SHABAD,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
