Seq No.,UDISE Code,School Name,School Location
1,36231904206,ZPHS SATAMRAI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
2,36231902512,KGBV SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
3,36231904127,ZPHS SHASHABAD (G),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
4,36231902002,ZPHS THONDUPALLY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
5,36231904153,"BRILIANT GRAMMAR HS, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
6,36231904166,SRI SHARADA VIDYA MANDIR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
7,36231904126,ZPHS SHAMSHABAD(B),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
8,36231901204,ZPHS NARKHUDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
9,36231902304,ZPHS PEDDASHAPUR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
10,36231902509,ZPHS PALAMAKOLE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
11,36231903702,ZPHS CHINNAGOLKONDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
12,36231904131,INFANT JESUS INTRNL HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
13,36231904189,S R HIGH SCHOOL MADHURA NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
14,36231902309,BRILIANT ADONAI HIGH SCHOOL (PEDDSHAPUR),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
15,36231904177,VIDYA NIKETAN SCHOOL (SHAMSHABAD),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
16,36231902511,TSMS SHAMSHABAD (PALAMAKOLE),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
17,36231904178,GMR CHINMAYA VIDYALAYA HIGH SCHOOL SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
