Seq No.,UDISE Code,School Name,School Location
1,36230102004,ZPHS KONDAKAL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
2,36230100433,KGBV SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
3,36230100703,ZPHS RAVULAPALLY KALAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
4,36230101802,ZPHS TANGATOOR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
5,36230102405,SRI RESU SATHI REDDY ZPHS MAHARAJPET,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
6,36230100446,TSWREIS (GIRLS) SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
7,36230100436,INDUS INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
8,36230100102,ZPHS MAHALINGAPURAM,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
9,36230100415,ZPHS SHANKERPALLY (G),"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
10,36230102602,ZPHS PODDATUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
11,36230100424,RAMAKRISHNA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
12,36230100419,LITTLE STAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
13,36230100418,REVATHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
14,36230100414,ZPHS SHANKARPALLY BOYS,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
15,36230102306,ZPHS JANWADA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
16,36230101602,ZPHS PARVEDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
17,36230100450,SRIVIVEKANANDA JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
18,36230100416,SRI VIVEKANANDA HIGH SCH,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
19,36230100449,VASAVI VOCATIONAL JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
20,36230100445,TSMS SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
21,36230102006,PRASCHIN GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
