Seq No.,UDISE Code,School Name,School Location
1,36231402106,ZPHS GATTUIPPALAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
2,36231400814,"AKSHARA HIGH SCHOOL, TALAKONDAPALLY","State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
3,36231400811,KGBV TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
4,36231401804,ZPHS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
5,36231400305,ZPHS PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
6,36231400707,ZPHS CHUKKAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
7,36231400812,LITTLE SCHLORS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
8,36231402108,VISHWA VIJETHA HIGHSCHOOL GI PALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
9,36231400807,ZPHS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
10,36231401005,ZPHS CHANDRADANA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
11,36231401508,ZPHS VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
12,36231401510,VIJETHA HIGH SCHOOL VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
