Seq No.,UDISE Code,School Name,School Location
1,36231101204,ZPHS MEDIPALLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
2,36231100415,KGBV YACHARAM,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
3,36231100708,ZPHS NANDIWANA PARTY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
4,36231100406,ZPHS YACHARAM,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
5,36231101403,ZPHS KOTHAPALLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
6,36231100104,ZPHS CHINNATHUNDLA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
7,36231100410,PUDAMI NEIGHBOUR HOOD,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
8,36231101707,ZPHS MALL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
9,36231100414,JOVIAL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
10,36231101712,"KRISHNAVENI TALENT SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
11,36231101714,"ST.STEPHENS SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
12,36231100208,TSMS GUNGAL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
