Seq No.,UDISE Code,School Name,School Location
1,29210334501,NANDINI VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
2,29210333203,EVERGREEN HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
3,29210317033,GOVT PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
4,29210333204,VIJAYA HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
5,29210317040,PRAGATHI GIRLS PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
6,29210312206,NATIONAL ACADEMY FOR LEARNING,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
7,29210316946,UNITED CHRISTIAN PU COL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
8,29210330502,AKASH INTERNATIONAL SCHOOL AND P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
9,29210302504,SRI MARUTHI VIDYA MANDIRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
10,29210312602,JNANA JYOTHI PUB.SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
11,29210316924,GNANA DEEPA ACADEMY(R),"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
12,29210333604,SRIGANDHA LPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
13,29210311803,"SRI SAI VIDYA MANDIRA, KANNAMANGALA","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
14,29210309807,NAVODAYA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
15,29210332702,CHINMAYEE PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
16,29210332801,PRAGATHI PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
17,29210305908,ANANTHA VIDYANIKETHANA AVATHI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
18,29210332303,KANAKASRIJNANADEEPA PUCOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
19,29210317043,WISDOM ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
20,29210333205,"VIJAYA P U COLLEGE, VIJAYAPURA","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
21,29210330401,DR.APJ ABDUL KALAM ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
22,29210333602,ROTARY HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
23,29210312204,M V M CENTRAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
24,29210312202,SRI MARUTHI VIDYA MANDIRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
25,29210306902,GURUKULA INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
26,29210312205,BRIGHT EYES,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
27,29210322601,"MATHRU VIDYANIKETHAN, SADAHALLI","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
28,29210310203,SRI G S V HS KARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
29,29210332302,SLS SCHOOL OF MODERN WISDOM,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
30,29210316935,SRI SAI VIDYANIKETHAN BYCHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
31,29210316509,"SRI SHARADA VIDYALAYA, BOODIGERE","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
32,29210302505,MARUTHI VIDYAMANDIRA ENGLISH HIGH SCHOOL CBSE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
33,29210312005,M P SCHOOL KANNAMANGALAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
34,29210317042,ROYAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
35,29210332307,ANJANADRI PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
36,29210310104,G D A R S MALIGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
37,29210331601,"SHREENIKETHAN PUBLIC SCHOOL, MARALABAGILU, DEVANAHALLI","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
38,29210333702,MAYA ENGLISH HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
39,29210332602,"GNANA GANGOTHRI, DEVANAHALLI","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
40,29210334301,RUBY ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
41,29210332901,JNANAGANGA PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
42,29210332601,OXFORD ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
43,29210316505,ARUNODAYA HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
44,29210302104,SRI NARAYANA PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
45,29210317017,SRINGERI SHARADHA HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
46,29210317036,NANDINI VIDYANIKETHAN RES. SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
47,29210305302,VIVEKANANDA VIDYANIKETHAN SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
48,29210332606,ATAL BIHARI VAJAPAYEE RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
49,29210332404,KITTUR RANI CHANNAMMA RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
50,29210312603,SMT INDIRA GANDHI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
51,29210316704,MINORITY MORARJI DESAI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
52,29210333605,MOULANA AAZAD MODEL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
53,29210302302,MORARJI DESAI RESI. SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
54,29210330603,DAFFODILS SCHOOL DEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
55,29210316510,NALANDA RESIDENTIAL INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
