Seq No.,UDISE Code,School Name,School Location
1,29210226701,DEVALA MAHARSHI LPS AND SRI DEVALA MAHARSHI ENG HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
2,29210207603,KITHUR RANI CHANNAMMA RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
3,29210224102,SHREE MAATHA INTERNATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
4,29210212802,DR B R AMBEDKAR GIRLS RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
5,29210226405,KONGADIYAPPA PU COLLOGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
6,29210213205,SIR M VISHVESHWARAIAH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
7,29210225908,MOULANA AZAD MODEL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
8,29210227901,MAHAVEER JAIN VIDYALAYA DBPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
9,29210226402,SARASWATHI HPS DBPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
10,29210227101,LITTLE ANGELS HPS DBPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
11,29210226407,"KONGADIYAPPA ENGLISH SCHOOL, LPS","State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
12,29210226408,NATIONAL PRIDE SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
13,29210225906,"WISDOM SCHOOL, HPS","State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
14,29210227601,SHREE PADMA VIDYANIKETHANA LPS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
15,29210225907,SRI SURYA PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
16,29210225603,ANQHAA INTERNATIONAL SCHOOL OF EXCELLENCE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
17,29210226002,NIVEDITHA ENGLISH SCHOOL CBSE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
18,29210228104,VIDYA SHILPA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
19,29210207804,SRI PUSHPANDAJA MAHARSHI GURUKUL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
20,29210226601,SPT TWINKLE STAR SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
21,29210212104,LPS NAVODAYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
22,29210226001,NIVEDITHA ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
23,29210226202,M S V PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
24,29210223803,KRISTU JAYANTI CMI PUBLIC SCHOOL KANNAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
25,29210228402,SRI CHETHANA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
26,29210222117,UNIVERSAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
27,29210211802,VIDYADAAN SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
28,29210227302,CAMBRIDGE ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
29,29210210703,LITTLE MASTER PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
30,29210224873,VIDYA NIDHI P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
31,29210211205,KOMARLA GANGASHETTY BHAGYALAKSHMAMMA PUBLIC SCHOOL RAJAGHATTA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
32,29210213209,SHREE SAI SAADHANAA SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
33,29210213207,SRI DEVARAJ URS INT.RES.CBSE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
34,29210213204,SRI DEVARAJA URS INTERNATIONAL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
35,29210224868,LAVANYA COMP PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
36,29210215203,NIKILA VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
37,29210215202,VINODA HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
38,29210226203,"ADITYA PUBLIC SCHOOL, SANJAYNAGAR","State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
39,29210225905,IMANUAL CONVENT,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
40,29210213208,SRI DEVARAJ URS P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
41,29210227603,SWAMI VIVEKANANDA ENGLISH HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
42,29210227701,M A B L HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
43,29210226204,SRI ARAVINDA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
44,29210212405,SRI VANI PU COLLERE PALANAJOGIHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
45,29210227604,G K HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
46,29210212404,B H PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
47,29210222205,CHANDRA MOHAN ENGLISH RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
48,29210213202,JNANA GANGA HPS and HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
49,29210212203,ST. JOSEPH,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
50,29210224838,SRI MARUTHI HIGHER PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
51,29210224916,SARASWATHI HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
52,29210213802,JAKKASANDRA NARAYANAPPA ENG HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
53,29210216902,G K NATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
54,29210211103,INDIAN PRIDE SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
55,29210219707,SURYODAYA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
56,29210226602,NALANDA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
57,29210227001,PRATHIBHA DEEPA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
