Seq No.,UDISE Code,School Name,School Location
1,29210422038,KITTURU RANI CHANNAMMA RESI.SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
2,29210422046,NOBLE ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
3,29210417703,Bloom Kids English School,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
4,29210418605,SHREE SHARADA HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
5,29210418304,KRISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
6,29210407802,PRAKRUTHI PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
7,29210417602,St. Andrew's School,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
8,29210405810,JNANA VIDYA MANDIRA INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
9,29210422009,FATIMA ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
10,29210422029,S B SCHOOL HPS & HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
11,29210422020,BRIGHT ENGLISH SCHOOL HPS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
12,29210418302,BHAVANI HPS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
13,29210419702,THE GREEN GARDEN SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
14,29210419904,THE GREEN SCHOOL BANGALORE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
15,29210422036,OMSHREE PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
16,29210421402,NEW MACAULAY ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
17,29210430501,CITIZEN ICSE ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
18,29210425512,S M ENGLISH MEDIUM SCHOOL SULIBELE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
19,29210422021,ANUGRAHA EDUCATION SOCIETY,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
20,29210418305,NURTURE INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
21,29210422022,CITIZENS' ENGLISH HPS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
22,29210422302,THE POLARIS INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
23,29210413305,INDO SUNRISE CBSE SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
24,29210422051,VIVEKANANDA ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
25,29210406602,SAGE MOUNT SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
26,29210401516,NEW OXFORD ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
27,29210418202,GLOBAL INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
28,29210430804,SRI VIVEKANANDA CBSE SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
29,29210417702,NEW DELHI PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
30,29210422050,KROOT MEMORIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
31,29210413304,ALTHAHEEB SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
32,29210417004,SRI SATHYA SAI PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
33,29210420904,SRI RANGANATHA GPU COMPOSITE COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
34,29210430701,SAMRUDDHI PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
35,29210422056,ST. JOSEPH GIRLS P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
36,29210418607,SHRUNGA VIDYALAYA ICSE SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
37,29210422045,NEW HORIZON SCHOOL HOSAKOTE TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
38,29210419307,KSVK PRE UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
39,29210430801,MAHADEVA PU COLLEGE HOSAKOTE TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
40,29210430901,ADVITYA PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
41,29210422062,KYATHI PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
42,29210422057,SRI MARUTHI P U COLLEGE HOSAKOTE TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
43,29210425511,VIVEKANANDA ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
