Seq No.,UDISE Code,School Name,School Location
1,29280600728,ST JOSEPH EVENING PU COLL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
2,29280602440,MOUNT CARMEL PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
3,29280602235,GOVERNAMENT HIGH SCHOOL V.K.O,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
4,29280601314,HINDU BALIKA HPS & HS SHIVAJI NAGA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
5,29280602171,ST ROCKS GIRLS HPS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
6,29280601428,RBANM'S BIFURCATED HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
7,29280601704,GTHPS JAI BHARATH NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
8,29280601211,B B M P GIRLS HS HYSALA NAGA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
9,29280600224,SIDDARTHA COMPOSIT PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
10,29280602218,ST XAVIERS HIGH SCHOOL SHIVAJINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
11,29280602520,ST ALPHONSUS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
12,29280601352,BBMP HIGH SCHOOL BROADWAY,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
13,29280602206,GULABI GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
14,29280601427,R.B.A.N.MS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
15,29280601432,M.O. GIRLS H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
16,29280602126,ST. JOSEPH CONVENT GIRLS H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
17,29280602417,ST.MARYS GIRLS HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
18,29280602125,R.B.B P.A.M HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
19,29280603503,SRI MALLIKARJUNA SWAMY H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
20,29280600817,ST.ALOYSIUS H S COX TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
21,29280600339,PARIJATHA PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
22,29280603519,QUWATHUL ISLAM H S BENSON ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
23,29280602134,GOOD WILL GIRLS HS PULIKESHINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
24,29280602121,FATIMA GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
25,29280601348,ISLAMI MADRASA E NISWAN HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
26,29280601342,METHODIST MISSION HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
27,29280600358,PARIJATHA H S VENKTESHPURAM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
28,29200803237,SRI VINAYAKA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
29,29280601406,B K A M ENGHPS ULSOOR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
30,29280601741,CECELIA HPS M S NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
