Seq No.,UDISE Code,School Name,School Location
1,29200904358,MODERN COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
2,29200904426,CORPORATION JUNIOR COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
3,29200912706,SACRED HEART BOY'S PRY SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
4,29200905552,KARNATAKA PUBLIC SCHOOLS GOVT PU COLLEGE YADIYURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
5,29200907728,BHS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
6,29200912708,ST EUPHRASIAS HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
7,29200906879,BET COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
8,29200906747,SGH COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
9,29200901752,B C R PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
10,29200912710,SACRED HEART BOYS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
11,29200900128,KVS PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
12,29200901743,N P S BASAVANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
13,29200903515,SRI RAMAKRISHNA HPS ULSOOR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
14,29200906874,HUDA NATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
15,29200124248,VASAVI VIDYANIKETHAN HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
16,29200912716,SACRED HEART GIRLS UPGRADED PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
17,29200900117,ST. ANNE'S GIRLS' HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
18,29200905508,KAMALANEHARU EHPS BASAVANGUDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
19,29200903532,LOURDES BOYS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
