Seq No.,UDISE Code,School Name,School Location
1,36220490797,"GOVT. PS CPL AMBERPET, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
2,36220490101,"GOVT.PS SATYA NAGAR,BEHIND COMMUNITY HALL","State : Telangana
District : HYDERABAD
Block : AMBERPET"
3,36220490104,"GOVT. PS(B) NALLAKUNTANO II, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
4,36220490795,"GOVT.HS(G) GOSHAMAHAL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
5,36220490117,"GOVT.PS(G) KACHIGUDA ,GOLNAKA LANKA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
6,36220490786,"GOVT. HS(B)HIMAYAT NAGAR,CPL, AMBERPET,HYDERABAD","State : Telangana
District : HYDERABAD
Block : AMBERPET"
7,36220490747,"IDARA-E-MILLIA HIGH SCHOOL, OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
8,36220490709,"AIDED NEW PROGRESSIVE HS(AIDED), RACE COURSE ROAD","State : Telangana
District : HYDERABAD
Block : AMBERPET"
9,36220490179,"AIDED VANI UPS(AIDED)OLDMAL, OLD MALAK PET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
10,36220490794,"MYTHRI VIDYA NIKETAN, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
11,36220490190,AIDED SRI SAI VIGNANA VARDHANI,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
12,36220490130,"AIDED NEW PRGSIVE PS(AIDED), RACE COURSE RD","State : Telangana
District : HYDERABAD
Block : AMBERPET"
13,36220490769,"SRI SIDDARTHA MODEL , TILAK NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
14,36220490734,"ST HANNAHS HIGH SCHOOL , AMBERPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : AMBERPET"
15,36220490706,"MOON LIT HIGH SCHOOL, 16-9-550/1","State : Telangana
District : HYDERABAD
Block : AMBERPET"
16,36220490805,RISHI VIDYANIKETAN HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
17,36220490861,"AKM SCHOOL(ENGLISH) ,KACHIGUDA KAMELA,SUNDAR NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
18,36220490183,"VIVEKANANDA UPPER PRIMARY, TIRUMALA NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
19,36220490185,"AL-AMEEN MINARETS UPPER PRIMARY SCHOOL, QUARDI BAGH","State : Telangana
District : HYDERABAD
Block : AMBERPET"
20,36220490809,"BHARATHI VIDYA BHAVAN HIGH SCHOOL,TULASI NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
21,36220490810,"SRI SAI GRAMMAR HIGH SCHOOL,OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
22,36220490878,CAMBRIDGE SCHOOL ZINDA TILASMATNAGAR,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
23,36220490812,"SAINT OWAIS CENTURY HIGH SCHOOL,OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
24,36220490799,narayana olympiad school,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
25,36220490723,"ST PAULS MODEL HIGH SCHOOL, TULASINAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
26,36220490793,"SRI SAI NAVANIKETAN HS , TURAB NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
27,36220490715,"OSMANIA MODEL HIGH SCHOOL, AMBERPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : AMBERPET"
28,36220490875,SRI SATHYA SAI ALIVELUMANGA BALAMANDIR C.E.COLONY,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
29,36220490750,"VIDYA BHYASA M H SCHOOL, CHENNA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
30,36220490719,"PRAGATI VIDYANIKETAN HIGH SCHOOL, BAPUNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
31,36220490731,"SRI SATYA SAI VIDYA VIHAR, BAGH AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
32,36220490814,"HYMAVATHI HIGH SCHOOL,PATEL NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
33,36220490870,SREE RAMACHANDRA JUNIOR COLLEG,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
34,36220490831,"SUPER TWIN CITIES HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
35,36220490177,"AIDED DEVI UPS(AIDED), TURAB NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
36,36220490194,"VIDYARTHI MODEL SCHOOL, BAGHAMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
37,36220490772,"LITTLE SOLIDERS MODE, sanjeevaiah nagar","State : Telangana
District : HYDERABAD
Block : AMBERPET"
38,36220490729,"SWAMY DAYANAND HIGH SCHOOL, AMBERPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : AMBERPET"
39,36220490132,"LITTLE SAINTS SCHOOL, OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
40,36220490873,KIDZ WORLD SCHOOL OLD MALAKPET,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
41,36220490806,"LITTLE ANGLES HIGH SCHOOL,RACE COURSE ,OLDMALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
42,36220490844,INDIAN ACADEMY HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
43,36220490857,"SRI SIDDHARTHA MODEL SCHOOL ,GOLNAKA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
44,36220490847,SRI SAJEEVNI JR COLLEGE,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
45,36220490188,"ST. THERESA GRAMMAR SCHOOL, SALEM NAGAR COLONY","State : Telangana
District : HYDERABAD
Block : AMBERPET"
46,36220490175,"GLORIOUS DAWN PS,KACHIGUDA KAMELA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
47,36220590895,"NARAYANA JR. COLLEGE , NEW NALLAKUNTA,HYDERABAD,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
48,36220490184,"ST AMBER SCHOOL AMBERPET , BISCUIT FACTARY","State : Telangana
District : HYDERABAD
Block : AMBERPET"
49,36220490830,"UNIQUE HIGH SCHOOL,OLDMALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
50,36220490829,"ST.MAARK HIGH SCHOOL,KACHIGUDA KAMELA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
51,36220490850,"DELTA HIGH SCHOOL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
52,36220490853,"ANANTHA SAI VIDHYA NIKETHAN,BAGH AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
53,36220490859,"UNISON SCHOOL ,ALI CAFE CHOWRASTA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
54,36220490867,"ORIENT UPS,POCHAMMA BASTI","State : Telangana
District : HYDERABAD
Block : AMBERPET"
55,36220490858,OSMANIA MEDEL SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
56,36220490860,"SRI SARASWATHI SHISHU VIDYA MANDIR, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
57,36220490877,SS JUNIOR COLLEGE OLDMALAKPET,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
58,36220490724,"LITTLE FLOWERS HIGH SCHOOL, JAISWAL GARDEN","State : Telangana
District : HYDERABAD
Block : AMBERPET"
59,36220490720,"ROSE BUDS HIGH SCHOOL BA, MALLIKARJUNA NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
60,36220490725,"NALANDA GRAMMAR HIGH SCHOOL, CHENNAREDDYNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
61,36220490728,"GEETA CONVENT HIGH SCHOOL, CENTRAL EXCISE COLONY","State : Telangana
District : HYDERABAD
Block : AMBERPET"
62,36220490740,"ST MARY HIGH SCHOOL NEW NALLAKUNTA, NEW NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
63,36220490798,dreams kids and upper primary school,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
64,36220490737,"DIVYANJALI HIGH SCHOOL, C E COLONY","State : Telangana
District : HYDERABAD
Block : AMBERPET"
65,36220490733,"SRI SHANTHINIKETAN HIGH SCHOOL, AMBERPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : AMBERPET"
66,36220490833,"MOTHERS GIRLS JR.COLLEGE , VIDYANAGAR,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
67,36220590892,"ELTA JUNIOR COLLEGE , NALLAKUNTA,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
68,36220490813,THE MOTHERS VIDYA NIKETAN HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
69,36220490832,"ST PATRICKS JR.COLLEGE , NALLAKUNTA ,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
70,36220490841,"KRK HIGH SCHOOL,CHENNAREDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
71,36220490730,"KISHORE KUNJ HIGH SCHOOL ,JAISWAL GARDEN","State : Telangana
District : HYDERABAD
Block : AMBERPET"
72,36220490784,"HOWARD TALENT SCHOOL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
73,36220490852,"KRISHNAVENI UPS, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
74,36220490866,TARBIYA SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
75,36220490803,"SRI DURGA UPS,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
76,36220490851,"DARUL ARQAM SCHOOL OF INDIA ,OLDMALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
77,36220490863,"VELOCITY HIGH SCHOOL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
78,36220490716,"GANDHI HIGH SCHOOL, PATEL NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
79,36220490874,ACADEMIC HEIGHTS A CAMBRIDGE SCHOOL DD COLONY,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
80,36220490876,NITYA UPPER PRIMARY SCHOOL C.E. COLONY,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
81,36220490727,"SRINIVASA HIGH SCHOOL, BAGH AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
82,36220490714,"KNOWLEDGE HIGH SCHOOL,MARUTHI NAGAR,AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
83,36220490712,"SARASWATHI VIDYANIKETHAN , PATEL NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
