Seq No.,UDISE Code,School Name,School Location
1,36220190142,"GOUTAMI VIDYA DHAMAM, SANJEEVA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
2,36220190104,"GOVT. PS BS MAQTA, B S MAQTA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
3,36220190128,"VISWABHARATHI PRIMARY SCHOOL, MADHURA NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
4,36220190185,"NAGARJUNA HIGH SCHOOL, SRINIVASA NAGAR (E)","State : Telangana
District : HYDERABAD
Block : AMEERPET"
5,36220190119,"SHANTHI TALENT PRIMARY SCHOOL,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
6,36220190199,"PRATHIBHA HIGH SCHOOL,MADHURA NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
7,36220190454,"SRI CHAITANYA JUNIOR KALASALA , S.R. NAGAR,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
8,36220190448,"NEW SCIENCE COLLEGE , AMEERPET,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
9,36220190196,"HOLY CROSS HIGH SCHOOL, SUPRABHATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
10,36220190182,"VISWABHARATHI HIGH SCHOOL,MADHURANAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
11,36220190508,"NARAYANA JUNIOR COLLEGE AMEERPET,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
12,36220190183,"SRI VIDYANJALI HIGH SCHOOL,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
13,36220190122,"ZIKRA PRIMARY SCHOOL,SOMAJIGUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
14,36220100101,ST.THERESAS SECONDARY SCHOOL SANATHNAGAR,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
15,36220190192,"D K R MEMORIAL HIGH SCHOOL ,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
16,36220190124,"PRATHIBHA PRIMARY SCHOOL, MADHURANAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
17,36220190181,"NEENA HIGH SCHOOL, SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
18,36220190420,BRAHMAM TALENT PS MADHURANAGAR,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
