Seq No.,UDISE Code,School Name,School Location
1,36220991356,"GOVT. PS NAMPALLY I, NAMPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
2,36220990121,GOVT. PS(B)UPPER DHOOLPET,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
3,36220990148,"GOVT. PS(B)GOSHACUT,DATTATREYA COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
4,36220900108,"GOVT. PS MANGALHAT, SHIVLAL NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
5,36220990138,"GOVT. PS REDCROSS, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
6,36220990131,"GOVT. PS LS NAGAR ,TAPPACHABUTRA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
7,36220990128,"GOVT. PS AFZALSAGAR, ZEBABBAGH B CLASS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
8,36220990119,"GOVT. PS OLDMALLEPALLY, DHOBIGHAT","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
9,36220990118,"GOVT. PS(G)MALLEPALLY, SEETHARAMBAGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
10,36220990105,"GOVT. PS BOJAGUTTA, BOJAGUTTA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
11,36220991429,"GOVT. HS(G)RED CROSS,MASABTANK, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
12,36220991357,"GOVT. PS MASJEEDIA, OPP. SAIFABAD SCIENCE COLLEGE","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
13,36220990152,"GOVT. PS(B)MUSTAIDPURA, KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
14,36220990124,"GOVT. PS(B)ZEBA BAGH, DAI BAGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
15,36220990162,"AIDED HOLY MARY PS AIDED, AC GUARD","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
16,36220990156,"AIDED WAESA PS(G) AIDED, OPPOSITE BADA MAJEED","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
17,36220991447,"AIDED MOULANAAZAD HS AIDED, AC GUARDS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
18,36220990161,"AIDED MOULANA AZAD MEM PS AIDED, AC GUARDS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
19,36220991365,"AIDED NEW JAWAHAR UPS SCHOOL, AHMED NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
20,36220990160,"AIDED ANWAR UL ULOOM PS BOYS, NAMPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
21,36221592581,MS JUNIOR COLLEGE NMDC,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
22,36220991448,"AIDED HOLY MARY HS AIDED, AC GUARDS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
23,36220991409,"LEARNERS ACADEMY, NEW MALLAPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
24,36220991577,"VASU TALENT SCHOOL, TALLAGUDDA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
25,36220991499,"G.NARAYANAMMA HIGH SCHOOL,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
26,36220900114,"TAGORE MEMORIAL SCHOOL, KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
27,36220900117,"NEWGEN HIGH SCHOOL, GUDDIMALKAPUR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
28,36220991588,"AIDED VIJAYANAGAR JUNIOR COLLEGE, VNC","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
29,36220991593,"JASMINE HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
30,36220991496,"PEACE ANGELS HIGH SCHOOL, MURADNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
31,36220991513,"APRICOT HIGH SCHOOL, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
32,36220991469,"PARAMAHANSA VIDYA NIKETAN, RAHIMPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
33,36220991515,"DON BAGH HIGH SCHOOL, MARUTHI NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
34,36220991413,"GRACE MODEL SCHOOL, SUBZIMANDI","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
35,36220991597,"SHARP SCHOLAR HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
36,36220991466,"JUBLIEE HIGH SCHOOL, VIJAYANAGAR COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
37,36220990197,showkath nesa public school kulsumpura,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
38,36220900143,"ST.ANNS JR.COLLEGE FOR GIRLS , MEHDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
39,36220900194,MS JUNIOR COLLEGE VIJAYANAGAR COLONY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
40,36220990179,"SPRING FIELDS PRIMARY SCHOOL, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
41,36220991475,"NEW CRESCENT HIGH SCHOOL,MALLEPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
42,36220900185,YAHIYA BOYS TOWN UPPER PRIMARY SCHOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
43,36220900178,PRERRNA SCHOOL (HS),"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
44,36220900152,ST.MARRYS GRAMMAR SCHOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
45,36220900142,"SRI ARABINDO JUNIOR COLLEGE , SAKINA COMPLEX,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
46,36220900145,"VANI JR. COLLEGE FOR GIRLS , MEHDIPATNAM,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
47,36220900138,"NARAYANA JR COLLLEGE , HNO:12-12-823/A/4/1,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
48,36220991509,"PRIYADARSHINI HIGH SCHOOL, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
49,36220991522,"GODS GLORY HIGH SCHOOL, ZEBA BAGH,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
50,36220900249,MOTHER JUNIOR COLLEGE,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
