Seq No.,UDISE Code,School Name,School Location
1,36221192156,"GOVT. JUNIOR COLLEGE FOR GIRLS,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
2,36221192158,"GOVT. CITY JUNIOR COLLEGE,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
3,36221191874,"AIDED LEELABAI M T HS AIDED, RIKAB GUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
4,36221191778,"AIDED NEW MODEL PS AIDED, DOOD BOWLI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
5,36221191707,"AIDED NEWTON PS AIDED, OUT SIDE FATHE DARWAZA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
6,36221191881,"AIDED YOUNG MODERN HS(G) AIDED, HUSSAINI ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
7,36221191981,"AIDED KHULQ MEMORIAL UPS, BAH PURA II","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
8,36221191809,"AIDED BLUE BIRDS UPS AIDED, FATEH DARWAZA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
9,36221190195,"AIDED HYDERABAD M PS AIDED, NEAR BABU SALEM MASZID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
10,36221190194,"AIDED STMARKS B T PS AIDED , JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
11,36221191703,"AIDED MUFEED UL ANAM PS AIDED, ETEBAR CHOWK","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
12,36221191869,"AIDED STMARKS BOYSTOWN HS AIDED, BAHADURPURA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
13,36221191876,"AIDED MODERN HS AIDED, HUSSAINI ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
14,36221191870,"AIDED HYDERABAD MODEL HS AIDED, BABU SALAM MEGI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
15,36221191720,"AIDED MODERN PS AIDED, HUSSAINI ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
16,36221191878,"AIDED MUFEEDUL ANAM HS(B) AIDED, ETEBAR CHOWK","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
17,36221191805,"AIDED SACRED HEARTS UPS AIDED, OPP S. P G.G.H.S","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
18,36221191706,"AIDED YOUNG MODERN PS(G)AIDED, HUSSAINI ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
19,36221192160,"AIDED DURGA PARASAD BANWARI LAL GIRLS JUNIOR COLLEGE,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
20,36221100106,HI-TECH ISLAMIC HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
21,36221191934,"GOOD FAITH HIGH SCHOOL, JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
22,36221100124,MYSIAN THE SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
23,36221100116,RELEVANT MISSION SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
24,36221192267,"MS CREATIVE UPS,SHAHALIBANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
25,36221192256,st gabrial school,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
26,36221100123,MADINA MISSION UPPER PRIMARY SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
27,36221192271,OSM JUNIOR COLLEGE,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
28,36221692798,"VISIONARY (VOC) JRC, CHARMINAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
29,36221192260,"HAPPY DAYS THE SCHOOL,NEW AKBER COLONY,VATTEPALLY","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
