Seq No.,UDISE Code,School Name,School Location
1,36221290142,"GOVT. PS R N COLONY , TULSI NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
2,36221290137,"GOVT. PS RAJIVGHANDHINGR, RAJEEV GANDHI NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
3,36221290138,"GOVT. PS(B) P M HANUMAN, RAJ NARSIMHA COLONY","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
4,36221200119,Govt. JRC BANDLAGUDA,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
5,36221200121,"GOVT. RED CROSS HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
6,36221292132,"GOVT. PS RED CROSS , NIRQUI PHOOL BAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
7,36221200117,Govt. JRC BANDLAGUDA (GIRLS),"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
8,36221292028,"AIDED SHANTHINIKETAN UPS AIDED, AMBIKANAGAR,UPPUGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
9,36221292399,"TWREIS (G),JANGAMMET","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
10,36221200177,"RISING INDIA HIGH SCHOOL,BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
11,36221292026,"AIDED PARADISE UPS AIDED, UPPUGUDA,CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
12,36221292363,KIDS PARADISE THE SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
13,36221292081,"ST. MARIA HIGH SCHOOL, UPPUGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
14,36221292089,"ST. PETERS HIGH SCHOOL, JANGAMMAT FALAKNUM","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
15,36221292084,"MAGNIFIC HIGH SCHOOL, PHISALBANDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
16,36221200128,HOLY MARY MODEL UP SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
17,36221200127,"TAJ TALENT PRIMARY SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
18,36221200155,"ZEAL GRAMMER SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
19,36221292045,mahboob e kounain school,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
20,36221200183,"MORALE MODEL HIGH SCHOOL, 2","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
21,36221292038,"ZAHRA SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
22,36221292039,"ARADHANA UPS, LALITHABAGH ROAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
23,36221292043,"MUNAWAR GRAMMAR SCHOOL, HYDERABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
24,36221200172,"CRESENT HIGH SCHOOL, HAFEEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
25,36221292417,"AL HASNATH ISLAMIC EM SCHOOL,GULSAN IQBALCLNY","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
26,36221292338,"MS CREATIVE HIGH SCHOOL, MIDHANI , KANCHANBAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
27,36221292305,"AL QURMOSHI GLOBAL PRIMARY SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
28,36221292108,"VIKAS HIGH SCHOOL, DRDL ROAD,PHOOL BAGH,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
29,36221292101,"NIZAM BOYS TOWN HIGH SCHOOL, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
30,36221292344,AS SALAM SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
31,36221292429,MS INTERNATIONAL SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
32,36221200140,"ARQAM HIGH SCHOOL, RAHMATH COLONY, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
33,36221200142,"CAMBRIDGE ASTER HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
34,36221200114,"MASTER MIND HIGH SCHOOL, FATIMA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
35,36221292342,MS GRAMMAR SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
36,36221292095,"SRI SAI GRAMMAR HIGH SCHOOL, RAJANNA BOWLI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
37,36221292009,"SARASWATHA ACADEMY PRIMARY SCHOOL, GOWLI PURA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
38,36221292047,"PARAGON SCHOOL OF GRAMMAR, BIBI KA CHASMA,FATIMA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
39,36221292366,HOLY MOTHER SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
40,36221292105,"JNANA BHARATHI MODEL HIGH SCHOOL, BEHIND GANDHI STATUE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
41,36221292117,"THAKSHASHILA HIGH SCHOOL, NEAR RAJANNA BAVI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
42,36221292287,"ST.WARIS HIGH SCHOOL,HAFEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
43,36221292431,ST MUSTAFA MISSION SCHOOL HAFEEZ BABA NAGAR,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
44,36221292296,"SHAKUNTALA HIGH SCHOOL, Bandlaguda","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
45,36221200179,"HI-TECH CYBER HIGH SCHOOL , CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
46,36221292406,"ST JOSEPHSGRAMMAR SCHOOL, JANGAMMET","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
47,36221292370,"SRI SARASWATHI SHISHU VIDYA MANDIR, HDYERABAD M,CORPORATION-","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
48,36221292340,ST MIRAAN THE ISLAMIC UPS,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
49,36221292352,GRACE MISSION SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
