Seq No.,UDISE Code,School Name,School Location
1,36221692636,"GOVT. HIGH SCHOOL CITY MODEL, CHADERGHAT","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
2,36221692804,ZEHRA MISSION SCHOOL,"State : Telangana
District : HYDERABAD
Block : CHARMINAR"
3,36221600102,"GOVT. GHS CHADERGHAT (NEW) , NOOR KHAN BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
4,36221692659,"AIDED MODEL HS AIDED, BAGH E JAHAN ARA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
5,36221692683,"AFROZE HIGH SCHOOL, RAMCHANDER NAGAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
6,36221692685,"ST. MEESUM MISSION HIGH SCHOOL, HUSSAINI MOHALLA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
7,36221690194,HYDERABAD ISLAMIC SCHOOL,"State : Telangana
District : HYDERABAD
Block : CHARMINAR"
8,36221692609,"HABEEB MISSION UPPER PRIMARY SCHOOL, RAHMATH NAGAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
9,36221692671,"ISLAMIA MODEL HIGH SCHOOL, YAKUTPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
10,36221692674,"FARAH HIGH SCHOOL, MARKAZI ANJUMAN E MAHDAVIA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
11,36221692663,"STERLING HIGH SCHOOL, OSMANPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
12,36221690126,"GOVT. PS CITY MODEL, KALI KHABAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
13,36221692725,"AIDED MODEL UPS AIDED, BAGH E JEHAN ARA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
14,36221692737,"NATIONAL ENGLISH SCHOOL, HYDERABAD","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
15,36221600119,"ST. SANEEN HIGH SCHOOL, CHANCHALGUDA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
16,36221692696,"IMAM BAKSHI MEMORIAL HIGH, REIN BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
17,36221692679,"SALAH UDDIN HIGH SCHOOL, YAKUTPURA COLONY","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
18,36221690143,"AIDED MODERN PS AIDED, CHANCHALGUDA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
19,36221690196,"AIDED RAHMATIA UPS AIDED , CHANCHALGUDA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
