Seq No.,UDISE Code,School Name,School Location
1,36220590107,"GOVT. P.S DATTANAGAR, SRI RAM NAGAR, BAGHLINGAMPALLY","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
2,36220590162,GOVT. PS (SS) HIMAYATHNAGAR AADARSH NAGAR,"State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
3,36220590103,"GOVT. PS(M)NARAYANAGUDA, OPP:OLD MLA QTRS,","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
4,36220590862,GOVT. ST.PETERS P.S KACHIGUDA,"State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
5,36220590858,"GOVT. HS STPETERS , HYDERAGUDA","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
6,36220590192,"AIDED BRRAO HS(G)AIDED, BARKATPURA","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
7,36220590932,"TAPASYA JUNIOR COLLEGE,","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
8,36220590890,"AIDED NRUPATUNGA JR. COLLEGE , BAGH LINGAMPALLY,","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
9,36220590167,"AIDED BABIES UNIVERSE U.P.S (AIDED), BAGHLINGAMPALLY","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
10,36220590170,AIDED NEHRUMONT K.G. U.P.S (AIDED) CHAPPAL BAZAR,"State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
11,36220590922,"ST PAULS HITECH HS,QUBTIGUDA","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
12,36220590116,"AIDED LAL BAHADUR P.S(AIDED), NIMBOLIADDA","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
13,36220590115,"AIDED BRRAO PS(G) AIDED, BARKATPURA","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
14,36220590903,"AIDED KESHAV MEMORIAL JR.COLLEGE , NARAYANAGUDA,","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
15,36220500104,"FIIT JEE SCHOOL, NARAYANGUDA,","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
16,36220590829,"SRI SAI RAM HIGH SCHOOL, -NEW AMBEDKAR NAGAR","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
17,36220590182,"T.V.JOHNS SCHOOLS KING K, KINGKOTI","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
18,36220590808,"PUNY PALS HIGH SCHOOL, NIMBOLIADDA","State : Telangana
District : HYDERABAD
Block : HIMAYATNAGAR"
