Seq No.,UDISE Code,School Name,School Location
1,36220690109,GOVT.PS RAMKOTI (EM) RAMKOTI,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
2,36220690143,"AIDED ALLEN PS AIDED, WESLEY CHURCH,RAMKOTE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
3,36220691033,"GOVT. MOULANA AZAD MEMORIAL MODEL JR.COLLEGE (G) , NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
4,36220690936,GOVT.HS(G) MAHBOOBIA MAHBOOBIA,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
5,36220691031,"GOVT.JR.COLLEGE FOR BOYS , NAMPALLY,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
6,36220690935,"GOVT. HS(B)ALIYA, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
7,36220691030,"GOVT.MAHABOOBIA JR.COLLEGE FOR GIRLS ,GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
8,36220690938,"GOVT. HS(M)ALIYA, ALIYA,OPP:L B STADIUM","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
9,36220690124,"GOVT. PS(M)ALIYA,GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
10,36220691043,"GOVT. (VOC) JRC,NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
11,36220690125,"GOVT. PS(G)MAHABOOBIA, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
12,36220691022,"GOVT.JR.COLLEGE ALIYA , GUNFOUNDRY,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
13,36220690961,"AIDED ALLEN HS AIDED, CHURCH COMPOUND","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
14,36220690956,"AIDED SRIHANUMAN VS HS AIDED, NAMPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
15,36220690963,"AIDED V V BOYS HS AIDED, JAM BAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
16,36220690135,"AIDED PRAGATI N V PS(AIDED), BANK STREET","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
17,36220690138,"AIDED SRIHANUMAN VS PS AIDED,SULTAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
18,36220690904,"AIDED V V UPS AIDED, JAMBAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
19,36221600110,"AIDED DHARMA VEER JUNIOR COLLEGE , GOWLIGUDA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
20,36220691064,"OMKAR VIGNAN SCHOOL, OSMAN SHAHI, AFZALGUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
21,36220690150,"AIDED SHRI GUJARATI VM PS AIDED, SULTAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
22,36220590882,"AIDED D.R.JINDAL JR.COLLEGE , ESAMIA BAZAR,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
23,36220691007,"SRI LAXMI DURGA HIGH SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
24,36220690919,"SHADAN GROUP OF MODERN SCHOOL, REDHILLS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
25,36220690973,"SHANKARJI MEMORIAL GIRLS , EXHIBITION GROUND, HYDERABAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
26,36220690972,"METHODIST HIGH SCHOOL, KINGKOTI ROAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
27,36220691016,"NEWCAMBRIDGE HS, TOP KHANA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
28,36221600111,"AIDED PRAGATHI MAHAVIDYALAYA , HANUMANTEKDI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
29,36220691063,"LMGs SMART KIDS SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
30,36220690986,"NAMPALLY VYAYAM SHALA HIGH SCHOOL, BEHIND RLY GOODS SHED","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
31,36220691061,"WISDOM THE SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
32,36220691059,"ST PAULS UPS, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
33,36220691028,"SUJATHA JR.COLLEGE , ABIDS,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
34,36220600102,"NILOUFER HIGH SCHOOL, NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
35,36220690978,"JOHNS HIGH SCHOOL, ABIDS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
36,36220690982,"DIAMOND JUBILEE HIGH SCHOO, CHIRAGALI LANE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
37,36220690994,"JUBILEE CONVENT HIGH SCHOOL , NEW AGAPURA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
38,36220690992,"NANDINI HIGH SCHOOL, chirag alilane,ABIDS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
39,36220600112,KRISHNAVENI HIGH SCHOOL MANGALHAT,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
40,36220600113,KRISHNAVENI HIGH SCHOOL ABIDS,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
41,36220600118,NEW CAMBRIDGE SCHOOL,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
42,36220690985,"STANLEY GIRLS HIGH SCHOOL, NAMPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
43,36220690993,"J.M GOOD SHEPHEID HIGH SCHOOL, KATTEL MANDI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
44,36220691034,"STANELY JR.COLLEGE FOR GIRLS , CHIRAG ALI LANE,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
45,36220600111,"EKTA UPS, CHUDI BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
46,36220690980,"MIDAS HIGH SCHOOL, M J MARKET","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
47,36220690969,"NEW PARAMOUNT HIGH SCHOOL, BARBARBAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
48,36220690987,"G K KABRA NAVJIVAN MODERN, MAHILA NAVJIVAN","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
49,36220690988,"STUDENTS HIGH SCHOOL, TROOP BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
50,36220690989,"RABINDRANATH HIGH SCHOOL, BESIDE FISH MARKET, FEELKHANA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
51,36220690911,"FRONT LINE PUBLIC SCHOOL, CHANDANWADI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
52,36221600112,"SRI GUJARATHI VIDYA MANDIR JR.COLLEGE(G) , KOTI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
53,36220690983,"OXFORD HIGH SCHOOL, CHUDI BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
54,36220691066,NEO QUANTUM JR COLLEGE,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
55,36220691047,"GOWTHAM MODEL HIGH SCHOOL,BEGUMBAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
56,36220691024,"PIONEER JR.COLLEGE , ABIDS,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
57,36220691048,"GOWTHAM MODEL UPS SCHOOL,REDHILLS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
58,36220691004,"BRILLIANT GRAMMER H S, BASHEENGUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
59,36220690981,"ALL SAINTS HIGH SCHOOL, -GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
60,36220690970,"ST PAULS HI TECH SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
61,36220600110,"H N RAO MEMORIAL HIGH SCHOOL, CHUDI BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
62,36220690997,"VANDE MATHARAM HIGH SCHOOL, KAMALA NILAYAM","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
63,36220690995,"ST FLORENCES HIGH SCHOOL, FEEL KHUNA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
64,36220690984,"ROSARY CONVENT HIGH SCHOOL, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
