Seq No.,UDISE Code,School Name,School Location
1,36210790241,SHINE SCHOOL (OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
2,36210700805,PRIZE THE SCHOOL YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
3,36210790208,AIDED LOYOLA ACADEMY JR COLLEGE ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
4,36210700367,ST GABRIEL`S HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
5,36210700389,HOLY ANGELS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
6,36210700373,ST XAVIERS CONVENT HIGH S,"State : Telangana
District : MEDCHAL
Block : ALWAL"
7,36210700201,SVSR(BOLLARAM STN),"State : Telangana
District : MEDCHAL
Block : ALWAL"
8,36210700377,FLOWER BUDS HIGH SCHOOL(KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
9,36210790215,"AAKRUTHI SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
10,36210700369,ST ALPHONSUS HIGH SCHOOL (SURYA NAGAR),"State : Telangana
District : MEDCHAL
Block : ALWAL"
11,36210790212,SAI TEJA VIDYA NIKETHAN HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
12,36210700356,VIASNAVI SCHOOL( BUDEVI NAGAR),"State : Telangana
District : MEDCHAL
Block : ALWAL"
13,36210700371,PALLAVI PROGRESSIVE HIGH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
14,36210790213,SR DIGI HS( AMBEDKAR NAGAR ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
15,36210700388,DAFFODIL MODEL HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : ALWAL"
16,36210700702,GOUTHAM MODELS HS BOLLARAM,"State : Telangana
District : MEDCHAL
Block : ALWAL"
17,36210700387,HOLY FAITH HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
18,36210700370,NEW LIFE GRAMMAR HIGH SCH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
19,36210790225,GOWTHAM MODEL ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
20,36210790227,RAYARE KALANILAYAM SCH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
