Seq No.,UDISE Code,School Name,School Location
1,36210200904,"ST MARYS SCHOOL, MALLAMPET","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
2,36210200416,"Siloam Grammar School, Kompally","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
3,36210200812,THE ENGLISH SCHOLARS HS,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
4,36210200506,ST.IGNATIUS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
5,36210200806,AMBITUS WORLD SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
6,36210200808,DR KKRS GOWTHAM SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
7,36210200409,"SRI CHAITANYA SCHOOL, KOMPALLY","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
8,36210200610,EDGEMONT THE GLOBAL SCHOOL D.POCHAMPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
9,36210200312,"SRI CHAITANYA, KOMPALLY-3","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
10,36210200606,VIVEKANANDA HIGH SCHOOL(GANDIMAISAMMA),"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
11,36210200314,"SUNRISE MODEL HIGH SCHOOL,DUNDIGAL","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
12,36210200804,"GAYATHRI VIDYALAYAM, BOURAMPET .","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
13,36210200508,N S K K JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
14,36210200815,SLATE - THE SCHOOL BOWRAMPET,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
15,36210200607,"SRI SLOKA SCHOOL , GANDIMAISAMMA","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
16,36210200415,"KRISHNAVENI TALENT, KOMPALLY","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
17,36210200313,"SRI VATASAL GURUKUL VIDYALAYA, DUNDIGAL","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
18,36210200317,TEJA VIDYALAYAM PRAATHI COLONY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
19,36210200316,"SRI SARASWATHI SHISHU MANDIR, DUNDIGAL","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
20,36210200810,ECOLA MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
21,36210200507,N S K K HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
22,36210201003,VANI UPS SCHOOL DOOLAPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
23,36210200705,KRISHANVENI SCHOOL (BAHADURPALLY),"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
24,36210200716,SRI BHAVITHA PRIMARY SCHOOL BAHUDURPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
25,36210200419,SRI CHAITANYA SCHOOL KOMPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
26,36210200608,PRAGATHI MODEL HS,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
27,36210200609,HOLY CHILD ENGLISH MEDIUM SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
28,36210200707,SHALOM CONCEPT SCHOOL BAHUDURPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
29,36210200407,SPS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
30,36210200704,THE CREEK PLANET SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
31,36210200706,RADIANT SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
32,36210200814,"UNICENT SCHOOL, BOWRAMPET","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
33,36210200807,"OKRIDGE SCHOOL, BOURAMPET .","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
