Seq No.,UDISE Code,School Name,School Location
1,36211401771,RISHI SCHOOL GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
2,36211401772,SRI SAI SCHOOL BALAJINAGAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
3,36211402001,"Vedas School , Chowariguda","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
4,36211400510,SRI VIDYA VIHAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
5,36211401730,"SRI CHAITANYA HIGH SCHOOL, VIGANAN","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
6,36211401738,"CHAITANYA JR. KALASALA , SY.NO. 265, AUSHAPUR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
7,36211400513,"NARAYANA JR COLLEGE,ANNOJIGUDA","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
8,36211401743,SRI ANANADA JYOTHI SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
9,36211401018,GREENFIELDS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
10,36211401751,SRI CHANDRA SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
11,36211400102,NAVA BHAVITHA SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
12,36211401722,THE GHATKESAR MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
13,36211401616,"OXFORD SCHOOL, EDULABAD","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
14,36211401750,MINERVA GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
15,36211401748,"ST ANTHONYS HIGH SCHOOL, GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
16,36211401614,VIDYA KIRAN UPPER PRIMARY SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
17,36211401805,JESUS SHINE SCHOOL (NARAPALLY),"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
18,36211400511,"SRI CHAITANYA SCHOOL, ANNOJIGUDA","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
19,36211400506,JESUSWAY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
20,36211400204,"SHANTHI NIKETHAN HIGH SCHOOL, ISMAILKHANGUDA","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
21,36211401747,ACCENT MODEL HS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
22,36211401741,SHISHUVAN THE MONTESSORI SCHOOL NFC NAGAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
23,36211401011,"ST PAULS SCHOOL, CHOWDERGUDA","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
24,36211401303,MERIT HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
25,36211401015,GOUTHAM MODEL SCHOOL HS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
26,36211401305,MOUNT FORT SCHOOL AUSHAPUR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
27,36211401806,RAVEES SCHOOL NARAPALLY,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
28,36211401769,"NALLAMALLAREDDY JR COLLEGE, GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
29,36211401804,NALLA MALLA REDDY FOUDATION SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
30,36211401304,"SPR SCHOOL OF EXCELLENCE, AUSHAPUR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
31,36211401016,ANJANI SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
32,36211401012,SRI SAI VANI GRAMMAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
33,36211401203,PUDAMI NEIGHBOURHOOD SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
34,36211401613,PUDAMI THE ENGLISH UPS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
35,36211401763,Vidya Jyothi Model School,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
36,36211401752,"PUDAMI THE ENGLISH PRIMARIES, GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
37,36211401770,RISHI JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
38,36211401723,VIDYA KIRAN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
39,36211401729,HOLY FAITH GRAMMAR HS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
40,36211400508,NEW VISION MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
41,36211400103,SREE VIDYANI KETHAN INTERNATION SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
42,36211401013,TEJASVI VIDYARANYA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
43,36211401764,Rotterdam international School,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
44,36211401202,PRABODANANDA PRASHANTHI NIKETAN,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
45,36211401727,KENDRIYA VIDYALAYAM GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
46,36211400402,"ROCK WOODS SCHOOL , YAMANAMPET","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
47,36211401767,"MJPTBCWREIS ( B) , GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
48,36211401766,"MJPTBCWREIS (G) , GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
49,36211401617,TMREIS GIRLS GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
