Seq No.,UDISE Code,School Name,School Location
1,36210500482,"GOVT.JR.COLLEGE , KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
2,36210500353,MOUNAIN KIDS SCHOOL GAYATRINAGAR BORABANDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
3,36210590285,"Kenndy High the Magnet School, Kukatpally","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
4,36210500133,RAINBOW SCHOOL ( SPNAGAR),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
5,36210590259,"TWINKLE STARS SCHOOL, PRASHANTHI NAGAR","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
6,36210500101,SVS SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
7,36210590277,"AVINASH COLLEGE OF COMMERCE, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
8,36210590233,smart kennedy school kukatpally,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
9,36210500108,"SIVA SIVANI SCHOOL, SHAMSHI GUDA","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
10,36210590227,"BRILLIANT MODEL SCHOOL, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
11,36210590251,"ST.MARYS HIGH SCHOOL, VASANTH NAGAR","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
12,36210500121,RAJADHANI MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
13,36210500135,LITTLE ANGELS SCHOOL (YELLAMMABANDA),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
14,36210590237,"WISDOM HIGH SCHOOL (RG NAGAR, PRASHANTI NAGAR)","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
15,36210500518,SHARP KIDS - AKSHARA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
16,36210500302,RAJA RAM VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
17,36210500309,SRI SAI KRUPA VIDYANIKETAN HS (BORABANDA),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
18,36210500607,SRI CHAITANYA HIGH SCHOOL (VV NAGAR),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
19,36210500346,JB MEMORIAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
20,36210500465,"NARAYANA CONCEPT SCHOOL, KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
21,36210500460,OXFORD GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
22,36210500455,PNM HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
23,36210500589,S.M. MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
24,36210500541,NARAYANI VIDYALAYAM UPS,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
25,36210500568,SRI GAYATHRI,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
26,36210500564,"ST, ALPHONSASHIGH SCHOOL","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
27,36210590294,AL AHED SCHOOL RAJIVGANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
28,36210500236,"UPS RAINBOW CONCEPT, S.P.NAGAR, MOOSAPET","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
29,36210500711,NARAYANA SCHOOL HYDERNAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
30,36210500614,SRI CHAITANYA HIGH SCHOOL PS(SP NAGAR),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
31,36210500212,CAREWOOD CONCEPT SCHOOL (MOOSAPET),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
32,36210500616,SIDDHIS SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
33,36210590241,"Sri Chaitanya Junior Kalasala,Vivek Nagar","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
34,36210590240,"Sri Chaitanya Junior Kalasala,srinivas complex","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
35,36210500226,VIVEKANANDA CONVENT HS.,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
36,36210590238,"Sri Chaitanya Junior Kalasala,Sai Vikram","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
37,36210500592,SRI GAUTHAMI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
38,36210500429,ATRI PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
39,36210500122,S.S.D. GRAMMER SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
