Seq No.,UDISE Code,School Name,School Location
1,36210101813,SRI CHAITANYA H.S.,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
2,36210102770,SMARTKIDZ PRE SCHOOL MEDCHAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
3,36210102718,"TSWREIS SCHOOL, KISTAPUR","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
4,36210102719,SRI VIVEKANANDA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
5,36210102752,S S G SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
6,36210101309,HITECH VALLEY SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
7,36210102740,NAAGARJUNA TALENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
8,36210102776,SPOORTHY JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
9,36210102767,SRI PRATHIBHA MODEL SCHOOL (HS),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
10,36210100602,king victors grammar school,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
11,36210102739,"KRISHNAVENI TALENT SCHOOL, MEDCHAL","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
12,36210101304,ST.CLARET HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
13,36210102777,NAAGARJUNA MONTESSORI SCHOOL VENKATRAMAIAH COLONY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
14,36210102763,BRILLIANI GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
15,36210102736,MT.OLIVES GRAMMAR SC,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
16,36210102722,PAPARAYA VIDYALAYAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
17,36210102308,BNR SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
18,36210102769,SAMRAKSHANA SCHOOL (MEDCHAL),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
19,36210101602,RISING STAR PS,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
20,36210102774,REDSON JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
21,36210100603,st patricks high school,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
22,36210101312,THE CREEK PLANET SCHOOL ORBIT CAMPUS ATHVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
23,36210101818,LOYOLA GRAMMER SCHOOL GP PALLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
24,36210102728,ROSERY CONVENT HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
25,36210101406,NAZARENE GRAMMAR HIGH SCH,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
26,36210102720,A.C.M.RESIDENTIAL HIGH SC,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
27,36210102753,VENKATADRI CONCEPT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
28,36210102773,SCHOLARS JUNIOUR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
29,36210101705,SRI SAI CONVENT,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
30,36210101007,SRI VANI VIDYA NIKETAN,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
31,36210102723,CYBER AGE PUPILS SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
32,36210102775,NSR JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
33,36210101311,"HITECH SCHOLARS RESIDENTIAL SCHOOL ,ATEVELLY","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
