Seq No.,UDISE Code,School Name,School Location
1,36230800103,GOUREE CHANDRA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
2,36230803524,SREE BHASHYAM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
3,36230800207,LAYOLA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
4,36230802734,INDUS VALLEY INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
5,36230803203,"SLOKA SCHOOL,MANNEGUDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
6,36230803404,SHANTHI NIKETHAN CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
7,36230803010,ST ORNOLDS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
8,36230800217,S.K ENGLISH MEDIUM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
9,36230801404,FLORADALE PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
10,36230802718,THE THAPOVAN HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
11,36230802723,MARUTHI CONCEPT UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
12,36230800212,VIJATHA ENGLISH MEDIUM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
13,36230802728,SRI VANI MODEL HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
14,36230802727,"KRISHNAVENI TALENT, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
15,36230802724,BRILLIANT HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
16,36230800104,S.S.EXCELLENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
17,36230803520,SATHYAM TECHNO HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
18,36230803004,BRILLIANT MASTER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
19,36230803507,RAJASREE VIDYA MANDIR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
20,36230803412,SAI CHAITANYA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
21,36230801605,ST PHILOMEENA P SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
22,36230800209,VEGESNA PADMAVATI SC,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
23,36230803523,VYAS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
24,36230801405,"NARAYANA EDUCATIONAL SOCIETY, PASMAMLA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
25,36230801505,SANKEERTH GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
26,36230802717,K B SAINIK HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
27,36230801515,SRI VIJAYA SAI GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
28,36230803512,RAVINDRA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
29,36230802735,ST.JOSEPHS SCHOOL(E/M),"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
30,36230802715,"LITTLE FLOWER GRAMMER SCH, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
31,36230802738,BLISTON SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
32,36230802722,BLUE BELLS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
33,36230802733,LOTUSLAP PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
34,36230802716,"ST. PAULS HIGH SCHOOL, KAMMAGUDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
35,36230803513,VIDYA DHARANI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
36,36230801512,GRCE CHILDRENS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
37,36230802725,JAYAPADMAM UPPER PRIMARY SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
38,36230803407,NIMMAGADDA ANANDAMMA MEMORIAL GIRLS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
39,36230802736,KIRANAM SPECIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
40,36230801517,"NARAYANA EDUCATIONAL SOCIETY, KOHEDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
41,36230801511,RAPHA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
42,36230800216,SUN RAYS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
43,36230803201,VASHISTA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
44,36230802104,SRI SAI NIKETAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
45,36230802202,VENKATARAMANA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
46,36230800907,"VISHWA SHANTHI VIDYALAYAM, GUVVALEGILI","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
47,36230802306,JANET GEORGE MEMORIAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
48,36230800602,MAMATHA GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
49,36230802106,"NEW CHAITANYA HIGH SCHOOL, ABDULLAPUR","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
50,36230803409,INDIRA PUBLIC HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
51,36230803406,S.R EDUSMART MANTESSORI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
52,36230803006,"UNICENT SCHOOL, TATTIANNARAM","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
53,36230802305,"VIGNAN MODEL SCHOOL, BATASINGARAM","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
54,36230801106,"NEW BRILLIANT MODEL SCHOOL, THARAMATIPET","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
55,36230802614,NEELAKANTH VIDYAPEETH RESIDENTIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
56,36230801516,SREE RAMANUJAN TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
57,36230803009,KESHAVA REDDY CONCEPT HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
58,36230803514,CANDOR SHRINE I SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
59,36230802719,"BALA KARTHIKEYA CONCEPT SCHOOL, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
60,36230802107,BHAGYA NAGAR PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
61,36230803005,INDU INTERNATIONAL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
62,36230802730,LOYOLA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
63,36230802108,"KRISHNA VENI TALENT SCHOOL, ABDULLAPUR","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
64,36230802802,BHAVANIS KAMALA RANI SANG,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
65,36230800218,TMREIS KUNTLOOR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
66,36230802307,MJPTBCWREIS RESIDENTIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
67,36230802732,SANKALP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
68,36230803011,NCLP TATTI ANNARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
69,36230802739,MJPTBCWRS G CHANDRAYAN GUTTA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
70,36230803413,MJPTBCWRS G AMBERPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
71,36230803414,MJPTBCWRS GIRLS L B NAGAR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
72,36230803526,MOHAMMADIYA PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
