Seq No.,UDISE Code,School Name,School Location
1,36231300638,HS LITTLE SCHOLARS AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
2,36231300663,TW ASHRAM SHCOOL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
3,36231300664,"TSWREIS SCHOOL, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
4,36231300636,"HS AMANGAL GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
5,36231300643,HS ARBINDO AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
6,36231300650,HS KRISHNAVENI AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
7,36231300647,UPS ST JOHNS AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
8,36231300652,"HS RISHI TALENT, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
9,36231300644,"HS VIGNAN GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
10,36231300660,"HS BRILLIANT GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
11,36231300662,"LITTELE SCHOLARS HIGH SCHOOL ,OPP.MRO OFFICE","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
12,36231300633,"HS PRAGNA, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
13,36231300634,"HS VIVEKA VIDYA BHATATHI, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
