Seq No.,UDISE Code,School Name,School Location
1,36232503648,DEEPIKA MEMORIAL HS SHADNAGAR (VIJAYANAGAR COLONY),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
2,36232503663,NARAYANA HS FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
3,36232502803,TSWREIS JRC KAMMADANAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
4,36232503618,AIDED PS ZION SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
5,36232500939,SHAASTRA SCHOOL SHAD NAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
6,36232500502,"UPS MNC, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
7,36232503643,NAVAJYOTHI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
8,36232503695,HS BASHYAM HIGH SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
9,36232500907,HS SRIKAKATIYA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
10,36232503696,PS SMART SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
11,36232500501,"UPS ABHYAS, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
12,36232500609,OMKAR SAHITHI VIDYALAYAM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
13,36232500930,"UPS NAVABHARATH GRAMMER, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
14,36232500929,"UPS MONTESSORY, SHADNAGAR(PV COLONY)","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
15,36232500926,"SRI SAI VOCATIONLA JRC, SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
16,36232500922,"SRI MANIKANTA VOC.JR.COLLEGE, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
17,36232500908,UPS GOUTHAMI VIDYALAYAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
18,36232500607,SRI CHAITANYA RAMNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
19,36232500921,"VAISHNAVI VOCATIONAL JRC, SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
20,36232503690,RAVINDRA BHARATHI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
21,36232503687,HS BRILLIANT FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
22,36232503630,"UPS VIDYA BHARATII, THIRUMALA COLONY SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
23,36232503667,TEJA UPS FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
24,36232503674,HS KAKATIYA FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
25,36232501503,MARIA RANI SHANTHI VIDYANIKETHAN,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
26,36232503693,HS OXFORD INTERNATIONAL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
27,36232503658,MEDHA CHATTANPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
28,36232503657,MONTESSORI SHADNAGAR (EM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
29,36232500940,DELHI WORLD SCHOOL SHAD NAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
30,36232500941,SAI SHANTHI SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
31,36232500918,SHADNAGAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
32,36232500936,"GALAXY UP SCHOOL, FAROOQ NAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
33,36232500928,"PS NEW MONTESSORY, SHADNAGAR(RTC)","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
34,36232503650,ZION HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
35,36232503685,HS KRISHNAVENI FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
36,36232503644,SREE VANI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
37,36232500920,GEETHANJALI EM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
38,36232500927,"UPS VISWASHANTI, SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
39,36232500905,HS MOTHER THERESA SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
40,36232503681,UPS SRI SATYA SAI VIDYALAYAM CHINCHOD,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
41,36232503697,HS LITTLE SCHOLARS CONVENT SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
42,36232503692,HS UNIQUE (EM) SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
43,36232503686,HS NETAJI MODEL FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
44,36232503691,BHARATI INTEGRAL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
45,36232503641,TAGORE HIGH SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
46,36232503645,SRI SATYA SAI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
47,36232500611,MJPTBCWR BOYS DOULTHABAD,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
48,36232500923,"Dr.B.R.AMBEDKAR VOCATIONAL JRC, SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
49,36232500935,TMREIS (GIRLS) FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
50,36232503662,KRISHNAVENI HS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
51,36232503675,UPS INDIAN MONKS FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
52,36232503682,HS GENIUS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
53,36232500938,MJPTBCWERI MOGILIGIDDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
54,36232500937,MJPTBCWREI KERELLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
