Seq No.,UDISE Code,School Name,School Location
1,36230900727,TSWREIS (B) IBRAHIMPATN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
2,36230902902,ST ANNS HS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
3,36230901807,TSWREIS NALLAKANCHA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
4,36230900771,TWREIS IBRAHIMPATAN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
5,36230900741,T R R HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
6,36230900747,"PUDAMI THE ENGLISH SCHOOL, IBRAHIMPATNAM","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
7,36230900728,ANGLIST HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
8,36230900740,SRI VIDYA NIKETAN HIGH SC,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
9,36230900734,GURUKULA VIDYA PEETH HIGH,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
10,36230901805,"SAHITHI VIDYALAYAM, MANGALPALLE","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
11,36230900730,PRIYANKA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
12,36230900732,"LOYOLA MODEL HIGH SCHOOL, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
13,36230900761,"VASUNDARA JR COLLEGE (GIRLS) , IBRAHIMPATNAM","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
14,36230900309,IDEAL GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
15,36230900766,SRI SAI CHAITANYA UPS,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
16,36230900759,"SRI VIVEKANANDA JR.COLLEGE , IBRAHIMPATNAM","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
17,36230900720,SRINIVASA UPPER. PRI.SCHO,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
18,36230900767,"SRI CHAITANYA TECHNO SCHOOL, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
19,36230900752,KRISHNAVENI TELENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
20,36230900745,"NAGARJUNA HIGH SCHOOL, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
21,36230900765,"SR DIGI SCHOOL, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
22,36230900764,VIVEKANANDA VIDYA TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
23,36230900774,KARTIKEYA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
24,36230900308,NALANDA GRAMMAR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
25,36230901105,ADITYA U.P. SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
26,36230900751,VIGNAN CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
27,36230900731,SHASTHA GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
28,36230900105,NEW GALAXY PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
29,36230900773,SRI VIDYANJALI JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
30,36230900749,"BRILIANT GRAMMAR HS, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
31,36230900768,INDIAN PUBLIC SCHOOL IBRAHIMPATNAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
32,36230900770,BEAM ROSE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
33,36230901507,"PUDAMI THE ENGLISH SCHOOL, RAIPOLE","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
34,36230901809,VIDYARTHI TALENTHS,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
35,36230900726,TMREIS (G) IBRAHIMPATN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
36,36230900772,"MJPTBCWREIS RESIDENTIAL(GIRLS) SCHOOL, SHERIGUDA, IBP","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
37,36230900729,NAGARJUNA HIGH.SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
38,36230900763,HRD SCHOOL OF EXCELLENCE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
39,36230900310,TSMS BONGLOOR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
40,36230900104,SRI SARASWATI VIDYA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
