Seq No.,UDISE Code,School Name,School Location
1,36231601139,"TW ASHRAM SCHOOL, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
2,36231601313,"PS GOWTHAMI, MUDWIN","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
3,36231601125,TW ASHRAMA HIGH SCHOOL BOYS MAISIGANDI,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
4,36231601142,KGBV KADTHAL,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
5,36231601143,"PRATHIBHA VIDYA NIKETAN, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
6,36231600206,BRILLIAT GRAMMAR RAVICHEDU,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
7,36231601134,"HS KRISHNAVENI, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
8,36231601135,"FORTUNE BUTTERFLY SENIOR SECONDARY, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
9,36231601133,"HS PRAGATHI, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
10,36231601131,KADTHAL GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
11,36231601314,"PS VIDYA BHARATH MODEL, MUDWIN","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
12,36231600104,NARENDRA VIDYALAYAM,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
13,36231601503,UPS VIVEK CHARIKONDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
14,36231601144,MONTESSORI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
