Seq No.,UDISE Code,School Name,School Location
1,36231701810,"GOWTHAMI MODEL SCHOOL, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
2,36231701826,TWREIS BOYS KANDUKUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
3,36231701813,"NOBLE HIGH SCHOOL, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
4,36231701828,CREEK SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
5,36231703007,AKSHARA BHARATHI SCHOOL (UPS),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
6,36231701824,TSWREIS BOYS (KANDUKUR),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
7,36231701105,WORD&DEED SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
8,36231701820,"ADARSHA JR. COLLEGE , KANDUKUR X ROADS","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
9,36231701812,"VIGNAN MODEL SCHOOL, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
10,36231702809,NALANDA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
11,36231702211,ST JOSEPH HIGH SCHOOL NEDNOOR),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
12,36231702210,TSMS NEDUNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
13,36231701207,MJPTBCW SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
14,36231700407,ST MARIS HIGH SCHOOL (PS) PULIMAMIDI,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
15,36231701827,SRI VENKATASAI VOC JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
16,36231701818,HYD P&T SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
17,36231701814,S V V R CONVENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
18,36231701208,MJPTBCWR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
