Seq No.,UDISE Code,School Name,School Location
1,36231500110,HERITAGE V PAPIREDDIGUDA,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
2,36231501305,ADARSA KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
3,36231500609,PS RV CONCEPT KOTHAPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
4,36231501309,GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
5,36231500304,RV CONCEPT EKLASKANPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
6,36231500806,MOTHERS ENGLISH MEDIUM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
7,36231501308,VASISTA VIDYALAYAM HS KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
8,36231501005,SRI SARASWATI IPPALAPALLY,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
9,36231500705,MARY IMMAUCULATE HS (EM) PATIGADDA,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
10,36231500603,SRI VANI KOTHAPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
11,36231501310,MJPTBCWREIS KESHAMPET,"State : Telangana
District : RANGAREDDY
Block : KESHAMPETA"
