Seq No.,UDISE Code,School Name,School Location
1,36232301110,"NICKELS CONVENT, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
2,36232301128,FATHIMA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
3,36232301124,TWREIS SCHOOL (BOYS)KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
4,36232300303,SHANTHIKETHAN MODEL HIGH SCHOOL THIMMAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
5,36232301116,PS KRISHNAVENI KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
6,36232301115,MONTISSORI EM KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
7,36232301114,LITTLE ANGELS HIGH SCHOOL KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
8,36232300607,HS VENKATESARA INMULNARWA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
9,36232301125,CHANDAMAMA RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
10,36232300106,PS ST LAWRENCE SCHOOL. REDDYPALEM (MALLAPUR),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
11,36232301119,"HS SUNSHINE MODEL, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
12,36232301127,SRI VENKATARAMANA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
13,36232301126,"MERIDIAN SCHOOL, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
