Seq No.,UDISE Code,School Name,School Location
1,36231002307,SHUBODAYA VIDYAMANDIR,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
2,36231002116,PUDAMI THE ENG SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
3,36231000908,VIVEKANAN HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
4,36231002309,I.C.F.SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
5,36231002109,GEETANJALI MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
6,36231000915,MJPTBWRS FOR BOYS MALAKPET,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
7,36231000914,RUGVEDA UPPER PRIMARY SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
8,36231002119,TSMS MANCHAL ARTULA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
9,36231001103,MJPTBCWRS B IBRAHIMPATAN,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
10,36231000909,BEAM ROSE UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
