Seq No.,UDISE Code,School Name,School Location
1,36230402017,GLORIUM SCHOOLS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
2,36230400902,SRI NARAYANA SCHOOL (KATEDAAN),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
3,36230401925,IQRA TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
4,36230400617,"SREE AKSHARA SCHOOL, MAILAR DEV PALLY","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
5,36230400614,SAI HARSHITH LITTLE STAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
6,36230401764,VIDYA VIKAS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
7,36230401762,SRI VIDYA NIKETAN HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
8,36230401829,AVM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
9,36230401910,ST. ALBERTS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
10,36230401908,"NEW BRILLIANT HIGH SCHOOL, Upperpally","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
11,36230401928,"LITTLE FLOWER HIGH SCHOOL, Sulemannagar","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
12,36230401854,"SR DIGI SCHOOL, Attapur","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
13,36230401887,ST FATHIMA SCHOOL (INDIRA NAGAR HASAN NAGAR),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
14,36230401759,NEW MOON HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
15,36230401102,HEERA ISLAMIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
16,36230401881,NEW BRILLIANT GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
17,36230400613,AMINA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
18,36230401885,GEETANJALI GRAMMER SCHOOL (SAI BABA NAGAR),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
19,36230401715,KRANTHI MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
20,36230401758,ASIA GRAMMER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
21,36230400610,SREE MEDHA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
22,36230401792,LOYOLA MODEL HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
23,36230401789,CHAITANY BHARATHI HS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
24,36230402012,RAKESH VIDYANIKETAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
25,36230401107,SREYA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
26,36230401884,"BASHYAM HIGH SCHOOL, Attapur","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
27,36230401823,BHANODAYA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
28,36230401898,SRI GAYATRI TECHNO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
29,36230401811,KRISHNAVENI TALENT HS (MYLARDEV PALLY),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
30,36230401814,KRISHNAVENI TALENT HS (ATTAPUR),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
31,36230401801,VIVEKANANDA NEW MS,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
32,36230401855,DIAMOND MISSION SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
33,36230401859,AKSHARA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
34,36230401892,ST FAIZ MEMORIAL SCHOOL (VATTAPALLY),"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
35,36230401872,NAV BHARATH SCHOOL LAXMIGUDA,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
36,36230401899,"SRI CHAITANYA SCHOOL, Hyderguda","State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
