Seq No.,UDISE Code,School Name,School Location
1,36231904191,TSWREIS (BOYS) SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
2,36231904166,SRI SHARADA VIDYA MANDIR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
3,36231904189,S R HIGH SCHOOL MADHURA NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
4,36231904188,QURANIC MISSION SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
5,36231904153,"BRILIANT GRAMMAR HS, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
6,36231904132,NEA MISSION SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
7,36231902006,SRI SHIVAJI VIDYAPEETH HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
8,36231904184,GOWTHAMI JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
9,36231904183,"CHAITANYA JR COLLEGE, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
10,36231904133,ST MARYS CONVENT HIGH SCH,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
11,36231904169,"KAKATIYA TECHNO SCHOOL, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
12,36231904193,"UNIVERSAL HIGH SCHOOL, SHAMSHABAD(PT)","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
13,36231904194,"SRI CHAITANYA SCHOOL, SHAMSHABAD(PT)","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
14,36231901208,SRI GANGOTHRI PUBLIC UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
15,36231904170,BROOK FIELD INTNL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
16,36231901206,TRINITY MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
17,36231904180,KRISHNAVENI HIGH SCHOOL R B NAGAR SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
18,36231904141,LITTLE ROSE HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
19,36231904195,BLUE BIRD SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
20,36231904185,INFANT JESUS JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
21,36231904165,SRI SARASWATHI S S MANDIR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
22,36231904182,SRINARAYANA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
23,36231904192,NALANDA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
24,36231904152,"SRI VIDYA HIGH SCHOOL, RALLAGUDA","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
25,36231904181,"RAVINDRA BHARATHI SCHOOL, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
26,36231904151,ST.SAVIO HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
27,36231902507,SREE VANI VIDYAMANDIR UPS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
28,36231901207,CHERRY CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
29,36231902508,SRI VASAVI U.P.S.,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
30,36231904177,VIDYA NIKETAN SCHOOL (SHAMSHABAD),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
31,36231904197,NEW SRI MEDHA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
32,36231902309,BRILIANT ADONAI HIGH SCHOOL (PEDDSHAPUR),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
33,36231903703,"SRI VIVEKANANDA VIDYA MANDIR, CHINNAGOLKONDA","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
34,36231901102,"FAM SCHOOL, CHOWDERGUDA","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
35,36231904002,SRI GNYANA SARASWATHI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
36,36231904150,SRI KRISHNAVENI HIGH SCHOOL RAHMAN NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
37,36231904144,SATYAM GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
38,36231904130,L.B.M.HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
39,36231904124,ST MARTINS ENGLISH MEDIUM,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
40,36231902307,SRISAI TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
41,36231902510,CHITANYA TECHNO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
