Seq No.,UDISE Code,School Name,School Location
1,36230100446,TSWREIS (GIRLS) SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
2,36230100443,CHAITANYA JR. COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
3,36230100705,MPPS ALAMKHANGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
4,36230102105,"SRI ARYABHATTA SCHOOL, MOKILA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
5,36230100450,SRIVIVEKANANDA JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
6,36230100447,"A NEW CAMBRIDGE HIGH SCHOOL, SHANKARPALLY","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
7,36230102308,"VIGNAN VIDYA NIKETAN, JANWADA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
8,36230100418,REVATHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
9,36230100424,RAMAKRISHNA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
10,36230100419,LITTLE STAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
11,36230100436,INDUS INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
12,36230100416,SRI VIVEKANANDA HIGH SCH,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
13,36230100427,"KRISHNAVENI TALENT, SHANKERPALLY","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
14,36230102104,"SRI TRIVENI SCHOOL, MOKILA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
15,36230100449,VASAVI VOCATIONAL JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
16,36230102406,SRI CHAITANYA PS,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
17,36230100432,ANNAPURNAM MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
18,36230102006,PRASCHIN GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
19,36230100445,TSMS SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
20,36230102203,SUMANIKETAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
21,36230102309,"BRILLIANT SCHOOL, MIRJAGUDA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
22,36230100441,"BRILLIANT GRAMMAR HIGH SCHOOL, SHANKARPALLY","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
23,36230100106,CHAITANYA VIDYA NIKETAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
