Seq No.,UDISE Code,School Name,School Location
1,36231101713,SRI VEDA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
2,36231100414,JOVIAL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
3,36231100605,PRINCE PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
4,36231101505,"ST. GREGORIOS PUBLIC SCHOOL, TAKKALLAPALLY","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
5,36231100410,PUDAMI NEIGHBOUR HOOD,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
6,36231101712,"KRISHNAVENI TALENT SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
7,36231100418,LAYOLA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
8,36231101715,"PRAGATHI SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
9,36231101714,"ST.STEPHENS SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
10,36231100206,PUDAMI THE ENG PRIMARIES (GUNGAL),"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
11,36231100208,TSMS GUNGAL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
