Seq No.,UDISE Code,School Name,School Location
1,29210309301,GHPS MANDIBELE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
2,29210302201,KARNATAKA PUBLIC SCHOOLS GHPS VISHWANATHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
3,29210313504,GHS COMPOSITE YELIYUR,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
4,29210306401,G LPS C.N. HOSURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
5,29210310501,G LPS ANIGHATTA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
6,29210305202,G LPS PEDDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
7,29210333204,VIJAYA HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
8,29210333901,SHAMSHAD ULLA UHPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
9,29210317040,PRAGATHI GIRLS PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
10,29210315003,SREE RAMAKRISHNA RURAL HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
11,29210333203,EVERGREEN HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
12,29210332604,VARNA VIDYALAYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
13,29210334501,NANDINI VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
14,29210313202,SIR M.V. HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
15,29210330502,AKASH INTERNATIONAL SCHOOL AND P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
16,29210333604,SRIGANDHA LPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
17,29210302203,CHANDRAKALA HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
18,29210302504,SRI MARUTHI VIDYA MANDIRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
19,29210312602,JNANA JYOTHI PUB.SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
20,29210332303,KANAKASRIJNANADEEPA PUCOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
21,29210332805,PRAGATHI HS AND P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
22,29210309807,NAVODAYA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
23,29210332801,PRAGATHI PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
24,29210316924,GNANA DEEPA ACADEMY(R),"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
25,29210334602,SHREE NEELAGIRISHWARA VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
26,29210305908,ANANTHA VIDYANIKETHANA AVATHI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
27,29210332702,CHINMAYEE PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
28,29210331901,CARMEL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
29,29210330602,NEW SHARADHA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
30,29210332804,JAYCES SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
