Seq No.,UDISE Code,School Name,School Location
1,29210206101,G HPS S. NAGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
2,29210219801,G LPS THARABANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
3,29210224501,GHPS DODDA KUKKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
4,29210217801,GHPS CHIKKAMANKALALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
5,29210223301,GHPS VADAGERE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
6,29210209801,GHPS KANCHIGANALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
7,29210219703,G LPS MARI HEGGAYYANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
8,29210219701,GHPS HULIKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
9,29210225402,G.J.C HS D.B.PURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
10,29210208101,GHPS KARNALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
11,29210219402,G LPS HUNASEPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
12,29210224401,G LPS K.G. SHASTRIPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
13,29210219901,G LPS KASAGHATTA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
14,29210215102,G LPS VIVEKANANDA NAGARA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
15,29210205601,G LPS MUKKADI GHATTA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
16,29210207802,G LPS GANGASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
17,29210201501,G LPS OJENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
18,29210222202,GUHPS KADANURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
19,29210221901,GHPS DODDA TUMKURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
20,29210220401,GHPS HADRIPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
21,29210204501,GHPS JAALIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
22,29210219902,GHPS IYYANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
