Seq No.,UDISE Code,School Name,School Location
1,29210401602,GHPS SIDDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
2,29210420401,G LPS YADAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
3,29210407201,G LPS ULUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
4,29210407101,G LPS BANDAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
5,29210412702,GULPS GONAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
6,29210412401,GHPS CHIKKATHAGGALI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
7,29210422012,G KGMS HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
8,29210409601,G LPS BANAMAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
9,29210409801,GHPS DODDANALLURAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
10,29210405403,GHS COMPOSITE NELAVAGILU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
11,29210406905,GHPS BNPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
12,29210403302,GHS HASIGALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
13,29210412301,G LPS DODDATHAGGALI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
14,29210412201,GHPS OROHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
15,29210407301,G LPS OBALAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
16,29210409001,GHPS THAVAREKERE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
17,29210405801,KARNATAKA PUBLIC SCHOOLS GHPS NANDAGUDI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
18,29210421901,GHPS GANAGALURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
19,29210402701,G LPS VALAGEREPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
20,29210404801,GHPS HINDIGANALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
21,29210409701,GHPS GANGAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
22,29210406201,GHPS KARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
23,29210414701,G LPS THINDLU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
24,29210414601,G LPS THARABAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
25,29210409301,GHPS HETTAKKI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
26,29210412901,GHPS JADIGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
27,29210420501,GHPS MEDIMALLASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
28,29210403201,GHPS KAMMASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
