Seq No.,UDISE Code,School Name,School Location
1,29210110305,GUHPS THYAMAGONDLU,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
2,29210102103,G LPS ANCHEPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
3,29210110313,"GOVT PU COLLEGE, THYAMAGONDLU, NELAMANGALA TALUK-562132","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
4,29210118202,G LPS KAREKALPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
5,29210116502,G LPS GANGABHYRAPPANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
6,29210110203,G LPS SUBRAMANYA NAGARA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
7,29210115701,GHPS BASAVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
8,29210118803,G HS (COMP) YANTAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
9,29210102104,G HS (COMP) DEVARAHOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
10,29210120813,GUHPS TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
11,29210117602,G LPS HOSAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
12,29210114401,G LPS K.G. SRINIVASAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
13,29210107901,GHPS OBALAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
14,29210110311,KARNATAKA PUBLIC SCHOOLS GJC THYAMAGONDLU,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
15,29210117501,G LPS KENCHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
16,29210101901,G LPS BEERAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
17,29210103101,GUHPS LAKKURU,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
18,29210117101,GHPS VEERARAGHAVANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
19,29210115304,G LPS DANOJIPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
