Seq No.,UDISE Code,School Name,School Location
1,29280500455,KARNATAKA PUBLIC SCHOOLS GPUC JALAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
2,29280500101,GHPS V NAGENA HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
3,29280503819,"KARNATAKA PUBLIC SCHOOLS GHS (GIRLS) 13TH CR, MALLESHWARAM","State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
4,29280502803,GHS PALACE GUTTAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
5,29280503207,GHS (URDU) MUNAVAR MOHALLA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
6,29280503820,KARNATAKA PUBLIC SCHOOLS GHPS 13TH CRS MALLESWARAM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
7,29280502804,BBMP HS KODANDARAMAPURA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
8,29280500881,BBMP BOYS AND GIRLS HS GANDHINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
9,29280500877,GANDHI NAGAR H SEC S KUMARAPARK,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
10,29280503834,STELLA MARIS HIGH SCHOOL GAYATHRI DEVI PARK EXTN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
11,29280500218,MAHILA VIDYALAYA H S ANJANEYA BLOCK,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
12,29280503309,KAMALA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
13,29280503814,BBMP GIRLS HS SRIRAMPURA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
14,29280500795,MLA PU COLLEGE FOR WOMEN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
15,29280501630,JANATHA KHPS RAJAJINAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
16,29280500225,KUMARA PARK HS P.G HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
17,29280501298,SHREE LAKSHMI NARASIMHA SWAMY HIGH SCHOOL NAGASHETTIHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
18,29280503811,M.L.A. H S 15TH CROSS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
19,29280500879,VISHWAKALANIKETAN EHS 6TH CROSS NEHARUNAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
20,29280500226,UP-GRADED ENGLISH HPS P.G HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
21,29280503907,BAPU COMPOSITE PU COLLEGE HIGH SCHOOL SECTION,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
22,29280503916,NIRMALA RANI HPS YESHVANTHP,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
23,29280503926,BAPU COMPOSITE PRE-UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
24,29280504105,GANDHI VIDYA SHALA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
25,29280500444,BEL COMPOSITE P U COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
26,29280502524,SRI HOMBEGOWDA PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
27,29280501626,VIVEKANANADA HIGH SCHOOL RAJAJI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
28,29280501224,SREE MANJUNATHA KHPS NAGASHETTIHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
29,29280500880,SESHADRIPURAM HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
30,29280500878,SRI NAGARADAS KUNVERJI SHAH H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
31,29280500882,ARYA VIDYA SHALA H S GHANDHI NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
32,29280500890,STREE SAMAJA MIDDLE SCHOOL SESHADRIPURAM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
33,29280503908,NIRMALA RANI H S 18TH CROSS MALLE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
34,29280503924,VIVEKANANDA PRE-UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
35,29280500858,SHESHADRIPURAM PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
36,29280502723,BAPUJI PRE-UN IVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
37,29280500889,D.V.V GUJARATHI HPS MAJESTIC CIRCLE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
38,29280503923,CHANDRODAYA EHPS YESHVANTHPURA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
39,29280502009,M S RAMAIAH H S GOKULA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
40,29280503701,REVA INDEPENDENT PU COLLEGE SANJAYANAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
41,29280503311,AKAI PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
42,29280503829,BALA MANOVIKASA KENDRA SPECIAL SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
43,29280500103,AMB PUBLIC SCH KANAKA NGR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
44,29280501274,M.E.T INDO PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
45,29280503832,THIRUMALA VIDYANIKETHAN VYALIKAVAL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
46,29280503833,VYALIKAVAL EDUCATION SOCIETY HS VYALIKAVAL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
