Seq No.,UDISE Code,School Name,School Location
1,29200406454,LORVEN SCH,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
2,29200433709,PAVITHRA PUBLIC HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
3,29200405201,GHPS KOPPA GATE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
4,29200430803,KARNATAKA PUBLIC SCHOOLS ASB GOVT PRE UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
5,29200430801,KARNATAKA PUBLIC SCHOOLS GMPS NEW ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
6,29200410001,GLPS MAHANTHA LINGAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
7,29200410501,GHPS YADAVANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
8,29200430802,GOVT GIRLS HS ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
9,29200411201,GHPS ADIGONDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
10,29200414901,GLPS KADA JAKKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
11,29200411601,GLPS GOPASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
12,29200404701,GMPS JIGANI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
13,29200401051,GOVT PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
14,29200420801,GLPS RAMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
15,29200421301,GLPS CHINNAIAHNA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
16,29200412102,GHPS HUSKUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
17,29200420901,GLPS KALKERE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
18,29200410002,GLPS GOVINDANAYAKANATHANDYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
19,29200433714,GOVT HS HEBBAGODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
20,29200400301,GHPS MARANAYAKANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
21,29200411501,GLPS ALIBOMMA SANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
22,29200411901,GLPS SAMANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
23,29200407001,GMPS BOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
24,29200417926,MORARJI DESAI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
25,29200413803,KITTURRANI CHENNAMMA RES SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
26,29200417921,SRI JAYABHARATHI CO-OPARATIVE HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
27,29200431003,VIDHATHA HS ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
28,29200401120,SVP HS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
29,29200433715,SFS (K) SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
30,29200406456,SWAMY VIVEKANANDA RURAL HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
31,29200417905,JAYABHARATHI HPS,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
32,29200416913,SRI SARASWATHI VIDYANIKETHA HS(K),"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
33,29200416909,DHARMASAGARA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
34,29200404708,SRI NITHYANANDA SWAMY HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
35,29200424903,SRI SHARADA HS THIPPASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
36,29200432703,ANEKAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
37,29200431002,VIDHATHA KANNADA HPS,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
38,29200433501,CHRYSALIS HIGH BANNERUGHATTA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
39,29200407103,SRS VIDYANIKETHANA KITTAGANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
40,29200433728,SFS ACADEMY CBSE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
41,29200406434,SWAMY VIVEKANANDA RURAL PRE UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
42,29200427403,CHESTON PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
43,29200432402,PARVATHAMMA SUBBARAMIAH MEMORIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
44,29200402205,BRS GLOBAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
45,29200431202,ST JOSEPH'S PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
46,29200406706,AKSHAYA NATIONAL PUBLIC SCHOOL VEERASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
47,29200406608,CANARA GURUKULA PUBLIC SCHOOL T GOLLAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
48,29200417931,APS PU COLLEGE JIGALA CR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
49,29200426804,H.O.P.E HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
50,29200404107,SPURTHY PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
51,29200433729,ST FRANCIS SALES PU COL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
52,29200417927,KLS INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
53,29200424003,NEW OXFORD PU COLLEGE DODDATHIMMASANDRE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
54,29200412116,DIVINE PROVIDENCE SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
55,29200402002,INDUS INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
56,29200404720,SMT NR COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
57,29200417909,SHARADA EDUCATION TRUST,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
58,29200424702,ANJANA VIDYA KENDRA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
59,29200412114,FLORENCE PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
60,29200413007,The vruksha school rayasandra,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
61,29200420302,DEEKSHA SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
62,29200431402,GAJASHILA GANGOTHRI ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
63,29200432201,MUNIVEERAPPA HPS ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
64,29200433012,AMC AMERICAN PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
65,29200406455,NAZARETH ACADEMY CHANDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
66,29200417920,ATTIBELE PUBLIC SCH,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
67,29200407503,NATIONAL PUBLIC SCHOOL IGGALUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
68,29200431102,ARAVIND VIDYA SAMSTHE AND SRI SHARADHA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
69,29200431702,SARASWATHI VIDYA MANDIRA ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
70,29200417930,Sharadha International School,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
71,29200406807,ST.PETER'S SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
72,29200431301,PEARL VALLEY HS MIRZA ROAD,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
73,29200412007,HEAD START EDUCATIONAL ACADAMY,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
74,29200406458,LORVEN INDP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
75,29200407702,SORSFORT INTERNATIONAL SCHOOL CHANDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
