Seq No.,UDISE Code,School Name,School Location
1,29200301021,GHPS DEVARA BESANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
2,29200313716,GHPS RAMAGONDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
3,29200313705,GHS IMMADIHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
4,29200313502,GLPS K DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
5,29200309657,GHS GARUDACHARPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
6,29200307010,GHS J HUSKUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
7,29200300179,GLPS ANANDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
8,29200312241,GHPS NAGAVARA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
9,29200307606,GHPS JYOTHIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
10,29200303634,GHPS BABUSAPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
11,29200307607,GHS JYOTHIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
12,29200301953,KARNATAKA PUBLIC SCHOOLS KPS VARTHUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
13,29200300180,KARNATAKA PUBLIC SCHOOLS GHPS K R PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
14,29200310540,GJC KADUGODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
15,29200301027,GHPS HARLOOR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
16,29200309306,GLPS CHIKKA GUBBI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
17,29200309822,GMPS A NARAYANA PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
18,29200310146,GHPS BELATHURU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
19,29200300130,KARNATAKA PUBLIC SCHOOLS GJC K R PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
20,29200301950,GHS GUNJURU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
21,29200321117,GHPS MAHADEVAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
22,29200308038,GHPS K CHANNASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
23,29200303633,GLPS CHELKERE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
24,29200319929,GHS THANISANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
25,29200321418,GMPS SEEGEHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
26,29200301026,GOVERNMENT RESIDENCIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
27,29200321302,VISVESVARAY COMPOSITE PRE-UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
28,29280719836,ST. JAMES HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
29,29200300181,ST THEREASA HPS T C PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
