Seq No.,UDISE Code,School Name,School Location
1,36220190121,"CRESCENT CONVENT PRIMARY SCHOOL, B K GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
2,36220190172,"GOVT. HS VENGALRAO NAGAR, VENGAL RAO,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
3,36220190420,BRAHMAM TALENT PS MADHURANAGAR,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
4,36220190124,"PRATHIBHA PRIMARY SCHOOL, MADHURANAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
5,36220190181,"NEENA HIGH SCHOOL, SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
6,36220190402,"ZIKRA HIGH SCHOOL,SOMAJIGUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
7,36220190416,"BHASHYAM HIGH SCHOOL, MAIN ROAD,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
8,36220190436,"SHANTI TALENT SCHOOL,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
9,36220190502,"GEETANJALI OLYMPIAD PRIMARY SCHOOL,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
10,36220190506,"ROOTS JUNIOR COLLEGE,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
11,36220190448,"NEW SCIENCE COLLEGE , AMEERPET,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
12,36220100101,ST.THERESAS SECONDARY SCHOOL SANATHNAGAR,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
13,36220190146,"SAINT ANDREWS PRIMARY SCHOOL, BHOLA SHANKAR MAKTHA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
14,36220190433,"BHARATHIYA VIDYALAYA HS,YELLAREDDY GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
15,36220190490,"BHASHYAM LITTLE CHAMPS PRIMARY,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
16,36220190145,"GOVT.PS VENGALRAO NAGAR, VENGAL RAO NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
17,36220190183,"SRI VIDYANJALI HIGH SCHOOL,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
18,36220190122,"ZIKRA PRIMARY SCHOOL,SOMAJIGUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
19,36220190196,"HOLY CROSS HIGH SCHOOL, SUPRABHATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
20,36220190503,"SLATE THE SCHOOL HIGH,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
21,36220190413,"GOVT. HS YELLAREDDYGUDDA NO.I, SRINAGAR COLONY","State : Telangana
District : HYDERABAD
Block : AMEERPET"
22,36220190410,"GOVT. HS AMEERPET,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
23,36220190185,"NAGARJUNA HIGH SCHOOL, SRINIVASA NAGAR (E)","State : Telangana
District : HYDERABAD
Block : AMEERPET"
24,36220190143,"SRI VISWABHARATHI PRIMARY SCHOOL, JAYA PRAKASH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
25,36220190405,"SISTER NIVEDITA SCHOOL, D K ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
26,36220190129,"SRI VIDYANJALI PRIMARY SCHOOL,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
27,36220190517,"ST THERESAS GIRLS HIGH SCHOOL, SANATHNAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
28,36220190127,"NEENA PRIMARY SCHOOL, SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
29,36220190515,TMREIS Sanatnagar GIRLS I,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
30,36220190432,"ACHIEVERS SCHOOL,AMEERPET","State : Telangana
District : HYDERABAD
Block : AMEERPET"
31,36220190514,TMREIS Sanatnagar Boys I,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
