Seq No.,UDISE Code,School Name,School Location
1,36220991428,"GOVT. HS(B) IST LANCER, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
2,36220991567,"GOVT. HS SUBZI MANDI - II, ASIF NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
3,36220990138,"GOVT. PS REDCROSS, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
4,36220991439,GOVT. HS (B)GOSHACUT DATTATREYA COLONY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
5,36220991352,"GOVT. PS ANDROONKARWAN, NEW GANGA NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
6,36220991573,"GOVT. HS(G)HUSSAINIALAM, INSIDE PANNI PURA KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
7,36220991426,"GOVT. HS(G)MANGALHUT, ASIFNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
8,36220991437,"GOVT. HS KULSUMPURA, KULSUMPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
9,36220991447,"AIDED MOULANAAZAD HS AIDED, AC GUARDS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
10,36220991566,"GOVT. HS RAHEEMPURA, SATTANNAGALLI","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
11,36220990162,"AIDED HOLY MARY PS AIDED, AC GUARD","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
12,36220991365,"AIDED NEW JAWAHAR UPS SCHOOL, AHMED NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
13,36220991450,"AIDED BHARATH ABHUDAYA HS AIDED, JIYAGUDA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
14,36220900194,MS JUNIOR COLLEGE VIJAYANAGAR COLONY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
15,36220991452,"AIDED SAFADARIA HS(G) AIDED, HUMAYUN NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
16,36220991509,"PRIYADARSHINI HIGH SCHOOL, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
17,36220900117,"NEWGEN HIGH SCHOOL, GUDDIMALKAPUR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
18,36220991448,"AIDED HOLY MARY HS AIDED, AC GUARDS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
19,36221592581,MS JUNIOR COLLEGE NMDC,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
20,36220991458,"BALWIN HIGH SCHOOL,SEETARAMBAGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
21,36220991545,"ISRA SCHOOL FOR EARLY, SBI COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
22,36220900266,"GOOD WILL SMART SCHOOL,ASNR II","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
23,36220900265,"VISHWA BHARATHI SCHOOL,ASIFNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
24,36220900270,ST MARKS SCHOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
25,36220900251,INDRANI MAHAVIDYALAY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
26,36220900246,"SRI HARSHAMODEL SCHOOL,KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
27,36220900264,"WEBROW MODEL SCOOL,ASIF NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
28,36220900255,JINGLE BELLS UPS,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
29,36220900218,SHINY SCHOLARS CONCEPT SCHOOL MEHADIPATNAM,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
30,36220991407,"ST MOHEEN SCHOOL, AHMED NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
31,36220900261,"THE CLEMENT GRAMMAR SCHOOL, MEHDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
32,36220900199,SRI CHAITANYA JUNIOR KALASHALA GUDIMALKAPUR,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
33,36220991367,"VIDYARTHI UPPER PRIMARY SCHOOL, KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
34,36220991556,"SREE VIGNAN SCHOOL, SRI SAI NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
35,36220900228,"INDIAN PUBLIC SCHOOL OF EXECELLENCE,SEETHARAMBAGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
36,36220991510,"G PULLA REDDY HIGH SCHOOL, G PULLA REDDY CHORITIES TRUST","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
37,36221500181,ROYAL JUNIOR COLLEGE RATI BOWLI,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
38,36220990196,dreamz school sriramnagar,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
39,36220991393,"ASMA GRAMMAR SCHOOL, TAJ MANSION, HUMARUNNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
40,36220900198,SRIMEDHAV JUNIOR COLLEGE RETHIBOWLI,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
41,36220900247,"MONTESSORI UP SCHOOL,HEERA NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
42,36220991590,"MS CREATIVE HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
43,36220900269,"ISAAC UPS,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
44,36220900259,RELIANCE HI TECH SCHOOL ZIAGUDA,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
45,36220900240,UNITY SCHOOL OF EXCELLENCE,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
46,36220900257,"LITTLE ORCHIDS GRAMMER UPS SCHOOL, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
47,36220991376,"KALOJI SAINIK SCHOOL,DHOR BASTHI","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
48,36220900206,"SHIVANI VIDYA NIKETHAN HIGH SCHOOL,DHOOLPET","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
49,36220900241,"PRISM SCHOOL OF EXCELLENCE, ASNR II","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
50,36220990195,"SAFA UPS,ASNR I","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
51,36220991569,"BLOOMING BUDS SCHOOL, HYDERABAD","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
52,36220900267,"SPRING DALE UPS,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
53,36220900272,"MADARATH INTERNATIONAL UPS SCHOOL, VIJAY NAGAR COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
54,36220900141,"GOWTHAM JUNIOR COLLEGE , MEHDIPATNAM,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
55,36220900293,M.K.B.T . SCHOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
56,36220991662,MOIZ SCHOOL OF EXCELLENCE,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
57,36220900236,DREAM VALLEY SCHOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
58,36220900273,"KAKATIYA SCHOOL, ASIFNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
59,36220991391,"TARA UPPER PRIMARY SCHOOL, KAVALI MASJID","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
60,36220900192,TMREIS (GIRLS I) GOSHAMAHAL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
61,36220900295,DELIGHT SCHOOL MOGHLKANALA,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
62,36220900195,KALAM NATIONAL SCHOOL HUMAYUNNGAR,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
63,36220900196,SLOKA THE SCHOOL PURANAPOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
64,36220900169,SAFA JUNIOR COLLEGE SHANTINAGAR,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
65,36220900248,"AL ANSAR SCHOOL,I LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
66,36220991580,"MASTER MIND PUBILC SCHOOL, MAHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
67,36220991571,"MESCO GRADES UPS , ASIF NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
68,36220991555,"ANJALI VIDYANIKETAN, KESHAVSWAMY NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
69,36220900286,TMREIS (BOYS II),"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
70,36220900253,TMREIS (BOYS)VIJAYA NAGAR CLY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
71,36220991406,"MORAL MERRY SCHOOL, SANJAY GANDHI NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
72,36220991546,"VIDYARANYA HIGH SCHOOL, BARATH NAGAR COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
73,36220991519,"GOWTHAM MODEL SCHOOL, METRO PLAZA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
74,36220991472,"ST ANNS HIGH SCHOOL, ASIFNAGAR (MANDAL)","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
75,36220900219,"DECCAN MISSION HIGH SCHOOL,MANGALHAT","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
76,36220900256,"HIDAYA ISLAMIC SCHOOL,CHOTI MASJID","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
77,36220900263,QUEST INTERNATIONAL SCHOOL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
78,36220900287,TMREIS (GIRLS II),"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
79,36220900197,MS JUNIOR COLLEGE MEHADIPATNAM,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
80,36220900144,"PRIYANKA JR. COLLEGE FOR GIRLS , MEHDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
81,36220900288,MJPTBCWREIS GIRLS KARWAN,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
82,36220900299,CREMON MONTESSORI LIFE SCHOOL MEHADI PATNAM,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
83,36220900289,MJPTBCWREIS BOYS GHOSHAMAHAL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
84,36220900285,TMREIS (GIRLS) GOSHAMAHAL,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
