Seq No.,UDISE Code,School Name,School Location
1,36221191845,"GOVT. HS (B) SHAHGUNJ, JALAL KUCHA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
2,36221191859,"GOVT. HS(B)MOGALPURA, MOGHALPURA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
3,36221191846,"GOVT. HS SHAKKARGUNJ, SHAKERGANJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
4,36221192009,"GOVT. GIRLS HS KOTLA ALIJA, KALI KAMAN GULZAR HOUSE","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
5,36221191866,"GOVT. HS (B) DARUL ULOOM, KALIKAMAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
6,36221191850,"GOVT. HS(G)MOGALPURA, OPP.ASRA HOSPITAL","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
7,36221191856,"GOVT. HS QAZIPURA, DANIKA BAGH ROAD","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
8,36221190117,"GOVT. PS(E)PANJESHA , KALIKAMAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
9,36221191861,"GOVT. HS(B)SHALIBANDA, SHAH ALI BANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
10,36221192013,"GOVT. HS MOGHALPURA.I, ALIYABAD","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
11,36221192014,"GOVT. HS AFZALGUNJ, PURANAPUL","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
12,36221191847,"GOVT. HS KALIKAMAN, TADBAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
13,36221191862,"GOVT. HS(G)SHALIBANDA, OPP ASRA HOSPITAL","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
14,36221191858,"GOVT. HS VATTEPALLY, FATIMA NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
15,36221191857,"GOVT. HS JAHANUMA, JAHANUMA,LANCER","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
16,36221191882,"AIDED VAIDHIK D P HS AIDED, SHAH ALI BAND","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
17,36221191853,"GOVT. HS CHELAPURA, NAWAB SAB KUNTA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
18,36221191854,"GOVT. HS DAROOLSHIFA, NEAR JAMA MASZID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
19,36221191994,"GOVT HS(B)FOR BLIND DARULSHIFA, DARULSHIFA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
20,36221191864,"GOVT. HS(B)UMDABAZAR, UMDA BAZAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
21,36221191863,"GOVT. HS (G) HUSSAINIALAM, DEVDIKURSHEED JHAH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
22,36221191849,"GOVT. HS GALBALGUDA, GALBAL GUDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
23,36221191867,"GOVT. HS TADBAN, INDIRA NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
24,36221191778,"AIDED NEW MODEL PS AIDED, DOOD BOWLI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
25,36221190194,"AIDED STMARKS B T PS AIDED , JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
26,36221191873,"AIDED AGARWAL HS(G) AIDED, PATHERGATII","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
27,36221191709,"AIDED REFAH E AAM PS AIDED, HARIBOULI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
28,36221191883,"AIDED REFAH-E-AAM HS AIDED, HARI BOWLI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
29,36221191875,"AIDED AGARWAL HS(B) AIDED, CHARKAMAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
30,36221191874,"AIDED LEELABAI M T HS AIDED, RIKAB GUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
31,36221191766,"AIDED AGARWAL GIRLS PS AIDED, PATHERGATTI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
32,36221191701,"AIDED AGARWAL BOYS PRIMARY SCHOOL AIDED, PATHERGATTI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
33,36221191869,"AIDED STMARKS BOYSTOWN HS AIDED, BAHADURPURA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
34,36221191884,"AIDED GIRLS HS MJ MARKET AIDED, MOAZZAM JALI MARKET","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
35,36221191876,"AIDED MODERN HS AIDED, HUSSAINI ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
36,36221191870,"AIDED HYDERABAD MODEL HS AIDED, BABU SALAM MEGI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
37,36221191720,"AIDED MODERN PS AIDED, HUSSAINI ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
38,36221192194,MADINA ISLAMIC MISSION HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
39,36221100106,HI-TECH ISLAMIC HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
40,36221100116,RELEVANT MISSION SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
41,36221191872,"AIDED VENKAT RAO MEM HS AIDED, BAHADURPURA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
42,36221191934,"GOOD FAITH HIGH SCHOOL, JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
43,36221192267,"MS CREATIVE UPS,SHAHALIBANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
44,36221100124,MYSIAN THE SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
45,36221692798,"VISIONARY (VOC) JRC, CHARMINAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
46,36221191891,"NEWTON HIGH SCHOOL, FATHEDARWAZA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
47,36221692799,"VISIONARY JR COLLEGE, CHARMINAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
48,36221692806,"SRI CHANDRA JUNIOR COLLEGE, MOGALPURA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
49,36221692791,"GALAXY (VOC) JRC, CHARMINAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
50,36221192176,MEEZAN SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
51,36221191896,"SHANTINIKETHAN HIGH SCHOOL, DOODHBOWLI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
52,36221192263,"SHAH MODEL LUCKY SCHOOL,BASHARATH NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
53,36221192269,"BHANODAYA MODEL SCHOOL,NANDIMUSALIGUDDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
54,36221192092,CRESENT JUNIOR COLLEGE KISHANBAG,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
55,36221192182,"LITTLE STARS HIGH SCHOOL, BAHADURPURA - 2","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
56,36221192274,TAPASYA JUNIOR COLLEGE SHALIBANDA,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
57,36221191925,"PRESIDENCY GIRLS HIGH SCHOOL, JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
58,36221100189,"AL HASANATH ISLAMIC MISSION SCHOOL,KALEPHER","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
59,36221191938,"AHMED HIGH SCHOOL, NS KUNTA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
60,36221191905,"CITY PRAGATHI HIGH SCHOOL , RIKABGUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
61,36221191924,"GEETA HIGH SCHOOL, BELA COLONY","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
62,36221191907,"M.A. IDEAL HIGH SCHOOL, KISHAN BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
63,36221191919,"PIONEER HIGH SCHOOL, SHAH ALI BANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
64,36221192192,"VIKAS HIGH SCHOOL, BAHADURPURA - 2","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
65,36221192074,PHEENIX HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
66,36221192031,LIMRA MISSION SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
67,36221192147,"NISHANTH HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
68,36221192086,"KAKATIYA HIGH SCHOOL, SHALI BANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
69,36221191894,"JASARATH MISSION HIGH SCHOOL, KHILWATH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
70,36221191835,"INDIAN STARS GRAMMER SCHOOL, KISHAN BAGH ROAD","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
71,36221192047,NEW STANDARD SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
72,36221191888,"BILAL MODEL UPPER PRIMARY SCHOOL, KALEPATHER","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
73,36221191898,"JUPITER MISSION HIGH SCHOOL , OSMANBAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
74,36221192079,"SHINE MODEL SCHOOL, SHALI BANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
75,36221191956,"NEWTON MISSION HIGH SCHOO, KISHNA BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
76,36221191958,"SULTAN-UL-ULOOM HIGH SCHO, NEAR LALBAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
77,36221192177,FLOWER BUNCH HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
78,36221192193,TAIBAH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
79,36221192058,IQRA ISLAMIC HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
80,36221192016,"SULTAN L ULOOM UPS, HUSSAINIALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
81,36221191886,"HOLI FATIMA SCHOOL, VATTEPALLY","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
82,36221191926,"INDRA VIDYA NIKETAN HIGH SCHOOL, I/S CALDARWAZA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
83,36221191909,"HYDERABAD MISSION HSCHOOL, GHAZIBANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
84,36221692796,"GALAXY JR COLLEGE, CHARMINAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
85,36221100118,MADINA MISSION ISLAMIC MODEL SCHOOL (HS),"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
86,36221692784,"RAHMANIA JRC(G),CHARMINAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
87,36221100187,"ALZEHRA SCHOOL OF EXCELLENCE,DARULSHIFA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
88,36221100188,"IPS INTERNATIONAL SCHOOL,JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
89,36221100110,ADAMS HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
90,36221192238,ORCHARD THE SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
91,36221192007,"BRIGHT FUTURE SCHOOL, MUSTAFA NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
92,36221192060,SIDRA HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
93,36221191836,"SCHOLAR SCHOOL, CHIRAG ALI NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
94,36221191953,"ST XEVIERS HIGH SCHOOL, TEEGAL KUNTA X ROAD","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
95,36221191759,"GANESHILAL KONODIA PRIMARY SCHOOL, CHARKAMAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
96,36221191993,"DAISY PRIMARY SCHOOL, GAZIBANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
97,36221191947,"ST SULEMAN HIGH SCHOOL, MADINA MASIZA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
98,36221191951,"MODERN HIGH SCHOOL, KOKATATHI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
99,36221191922,"MADINA MISSION HIGH SCHOOL, JAHANUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
100,36221191739,"HOLY TOWN PRIMARY SCHOOL, ALIBAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
101,36221191930,"THE ROYAL CO-ED ACADEMY HIGH SCHOOL, MAHARAJ GUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
102,36221191946,"MANIS HIGH SCHOOL, INDIRA NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
103,36221192049,FALAH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
104,36221100125,GLOBAL CONCEPT SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
105,36221100196,SYDNEY UPPER PRIMARY SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
106,36221192196,FROEBEL UPS SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
107,36221192173,MARS HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
108,36221192033,PHOENIX INTERNATIONAL SCHOOL,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
109,36221192036,"WISDOM MODEL SCHOOL, SHALI BANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
110,36221192061,New Orbit School,"State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
111,36221192064,"SUCCESS THE SCHOOL , SHAHALIBANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
112,36221192190,"KRISHNAVENI TALENT HIGH SCHOOL, BAHADURPURA - 2","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
