Seq No.,UDISE Code,School Name,School Location
1,36221292070,"GOVT. HS(G) MAISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
2,36221290167,"GOVT. PS (B) MAISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
3,36221292075,"GOVT. HS JANGAMMET, JANGAMMET,NEAR POST OFFICE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
4,36221292069,"GOVT. HS FALUKNUMA, FALAKNUMA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
5,36221292076,"GOVT. HS(G)TDSINGH, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
6,36221292133,"GOVT. PS CHATRIMET, NEW RAKSHAPURAM , RAJIV GANDHI NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
7,36221200120,"AIDED SHARADA VIDYALAYA JR COLLEGE FOR GIRLS ,SHAMSHEERGUNJ,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
8,36221290179,"AIDED SHARADA V PS AIDED, ALIABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
9,36221292072,"GOVT. HS(B)MISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
10,36221290145,"GOVT. PS (G) T D SINGH , HAFEEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
11,36221292080,"AIDED ANWARULISLAM HS AIDED, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
12,36221292073,"GOVT. HS CHANDRAYANAGUTTA, CHANDRAYANA GUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
13,36221200142,"CAMBRIDGE ASTER HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
14,36221200155,"ZEAL GRAMMER SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
15,36221200183,"MORALE MODEL HIGH SCHOOL, 2","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
16,36221292039,"ARADHANA UPS, LALITHABAGH ROAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
17,36221292043,"MUNAWAR GRAMMAR SCHOOL, HYDERABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
18,36221200172,"CRESENT HIGH SCHOOL, HAFEEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
19,36221292084,"MAGNIFIC HIGH SCHOOL, PHISALBANDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
20,36221292344,AS SALAM SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
21,36221292105,"JNANA BHARATHI MODEL HIGH SCHOOL, BEHIND GANDHI STATUE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
22,36221292431,ST MUSTAFA MISSION SCHOOL HAFEEZ BABA NAGAR,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
23,36221292009,"SARASWATHA ACADEMY PRIMARY SCHOOL, GOWLI PURA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
