Seq No.,UDISE Code,School Name,School Location
1,36220690143,"AIDED ALLEN PS AIDED, WESLEY CHURCH,RAMKOTE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
2,36220690921,"GOVT. HS NAYABAZAR, SULTAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
3,36220690934,"GOVT. MGM GGHS NAMPALLY, BESID BORD OF INTERMEDIATE EDU","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
4,36220691033,"GOVT. MOULANA AZAD MEMORIAL MODEL JR.COLLEGE (G) , NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
5,36220690936,GOVT.HS(G) MAHBOOBIA MAHBOOBIA,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
6,36220690925,"GOVT. HS(GB)GOSHAMAHAL, GOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
7,36220691043,"GOVT. (VOC) JRC,NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
8,36220690940,"GOVT. HS(B)ESAMIABAZAR, ESAMIA BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
9,36220690935,"GOVT. HS(B)ALIYA, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
10,36220691030,"GOVT.MAHABOOBIA JR.COLLEGE FOR GIRLS ,GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
11,36220690938,"GOVT. HS(M)ALIYA, ALIYA,OPP:L B STADIUM","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
12,36220691035,"GOVT. MODEL JR. COLLEGE FOR GIRLS ,NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
13,36220690933,"GOVT. GHS(T )NAMPALLY, BAZARGHAT","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
14,36220690928,"GOVT. HS SHAHINAYATHGUNJ, SHAH INAYATH GUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
15,36220690924,"GOVT. HS(B)SULTANBAZAR, SULTHAN BAZAR,KOTI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
16,36220691022,"GOVT.JR.COLLEGE ALIYA , GUNFOUNDRY,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
