Seq No.,UDISE Code,School Name,School Location
1,36221090120,GOVT. PS NEWMOOSARAMBAGH SHALIVAHANA NAGAR,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
2,36221091722,"GOVT. PS MALAKPET, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
3,36221090193,"GOVT. PS KALADERA, CHANCHALGUDA JR.COLLEGE GROUNDS","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
4,36221091621,GOVT. HS(G) NEWMOOSARAMBAGH SHALIVAHANA NAGAR,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
5,36221091620,GOVT. HS NEHRUMEMORIAL MALAKPET NEAR POLICE STATION,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
6,36221091683,"GOVT. HS BAGHMOOSARIMO, MOOSARAM BAGH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
7,36221091685,"GOVT. HS(B)SAIDABAD, SAIDABAD,ARYA SAMAJ","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
8,36221091762,"GOVT.GIRLS HIGH SCHOOL,(KACHIGUDA), SRI SAI NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
9,36221091739,GOVT. HS (APSR) GADDIANNARAM POCHAMMABASTI GADDIANNARAM,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
10,36221091619,"GOVT.HS KURMAGUDA, MADANNAPET MANDI","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
11,36221091622,"GOVT. HS MADANNAPET, YERUKALABASTI","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
12,36221091769,"GOVT.JR.COLLEGE (OLD) , MALAKPET SAIDABAD GOVERNMNET,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
13,36221091623,GOVT. HS MALAKPET MALAKPET,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
14,36221091704,GOVT. HS BLIND FOR GIRLS MALAKPET B BLOCKS MALAKPET,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
15,36221090122,"AIDED VANI PS AIDED, VANI NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
16,36221091763,TSWREIS (GIRLS) SCHOOL RK PURAM MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
17,36221091792,"AIDED SRI PADMAVATHI JR.COLLEGE FOR GIRLS , SUBRAHMANY","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
18,36221091684,GOVT. HS SHANKESHWARBAZAR SHANKESHWARBAZAR,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
19,36221091830,"GOVT. RESIDENTIAL SCHOOL FOR HEARING HANDICAPPED ASMANGADH, 2","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
20,36221091624,"AIDED VANI HS AIDED, VANI NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
21,36221091629,"AIDED M.H. GUPTA HS AIDED, VINAY NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
22,36221091689,"GAUTAMI TALENT HIGH SCHOOL,SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
23,36221091676,"DAWN HIGH SCHOOL, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
24,36221091650,"EMI NENT HIGH SCHOOL, SANTOSHNAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
25,36221091654,"ROYAL EMBASSY HIGH SCHOOL, DHOBHIGATH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
26,36221091628,AIDED SVC HS AIDED MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
27,36221091776,"SREE VANI JR.COLLEGE FOR GIRLS , MALAKPET,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
28,36221091636,"SARADA VIDYALAYA HIGH SCHOOL, PRASANTH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
29,36221091837,"GSB BRILLIANT SCHOOL, NEW SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
30,36221091793,"NARAYANA JUNIOR COLLEGE , MIG 39, SANTHOSHNAGAR,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
31,36221000138,KRISHNAVENI SCHOOL MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
32,36221091677,RAINBOW CENTRAL HIGH SCHOOL AKBARBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
33,36221091838,"NAZARETH THE SCHOOL,GHM PARK","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
34,36221091765,"ROYAL EMBASSY JUNIOR COLLEGE FOR GIRLS , KURMAGUDA,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
35,36221091807,"SREE VENKATESWARA JRC OF COMMERCE,SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
36,36221091681,"BRILLIANT GRAMMAR SCHOOL, DILSHUKNAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
37,36221091696,SRI CHAITANYA SCHOOL MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
38,36221091632,"SPRINGDALES HIGH SCHOOL, SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
39,36221091638,"ST. THOMAS HIGH SCHOOL, SHALIVAHANANAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
40,36221091648,"GEETANJALI VIDYALAYA HIGH SCHOOL, SARASWATHI NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
41,36221000125,"LITTLE NIGHTINGALES HIGH SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
42,36221000115,"ACADEMIC HEIGHTS PUBLIC SCHOOL, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
43,36221091822,"NARAYANA E-TECHNO, CHAMPAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
44,36221091753,"ASHRAF MODEL UPS, Malaket","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
45,36221091787,"UNIQUE HIGH SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
46,36221091651,"LITTLE STARS HIGH SCHOOL, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
47,36221091655,"K L M QUEENS HIGH SCHOOL,, SAIDABAD COLONY","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
48,36221000137,"HIDAYAH ISLAMIC SCHOOL,HOUSING BOARD COLONY","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
49,36221091608,"ROSY UPPER PRIMARY SCHOOL, AKBAR BAGH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
50,36221000105,"THE GUIDANCE HIGH SCHIOOL, OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
51,36221091609,"MIDDLE EAST UPS, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
52,36221091836,"ALIQRA UPS, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
53,36221000135,"NOON UPS, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
54,36221000114,"GOWTHAM MODEL UPS, ASMANGADH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
55,36221091810,"VIPs INTERNATIONAL SCHOOL, OPP.PALLAVI BUS STOP, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
56,36221000116,"RAVINDRA BHARATHI HIGH SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
57,36221000109,"KARE SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
58,36221000146,G.M.CREATIVE UPPER PRIMARY SCHOOL EDIBAZAR,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
59,36221091839,"ISLAMIC CREATIVE SCHOOL,QALENDER NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
60,36221091701,"SUFFAH SCHOLARS UPPER PRIMARY SCHOOL, AKBARBAGH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
61,36221000130,"EDEN SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
62,36221000108,"ADVANCE GRAMMAR SCHOOL (UPS), BANU NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
63,36221000111,"KRISHNAVENI HIGH SCHOOL, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
64,36221091706,"GOUTHAM CONCEPT SCHOOL, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
65,36221091761,"M.S. CREATIVE HS, OPP. FIRE STATION, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
66,36221091791,"SANGAM LAXMI BAI JR.COLLEGE FOR GIRLS , SAIDABAD,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
67,36221091652,"PERFECT HIGH SCHOOL, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
68,36221091605,"TAHA UPPER PRIMARY SCHOOL, BESIDE AKBER TOWERS","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
69,36221091607,"HOLY MOTHERS GRAMMAR SCHOOL, ASMANGADH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
70,36221091662,"SACRED HEART HIGH SCHOOL,, SONTHOSHNAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
71,36221091667,"THE INDO EM HIGH SCHOOL, SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
72,36221091640,"VIKASA BHARATHI HIGH SCHOOL, NEAR NEW POLICE STATION","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
73,36221091698,MS JUNIOR COLLEGE MALAKPET,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
