Seq No.,UDISE Code,School Name,School Location
1,36221390192,"GOVT. HS(B) HILLSSTREET, HIMMATH NAGAR","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
2,36221390187,"GOVT. HS(G) NEW NALLAGUTTA, RAM GOPAL PET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
3,36221390165,GOVT. PS BEGUMPET POLICE LINE,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
4,36221390194,"GOVT. HS NEW BOIGUDA, NEW BHOIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
5,36221390195,"GOVT. HS(G)REZIMENTAL BZR, REGIMENTAL BAZAR","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
6,36221390115,"GOVT. PS GANDHINAGAR, PATIGADDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
7,36221300131,"GOVT.JR.COLLEGE , SARDAR PATEL ROAD,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
8,36221390186,"GOVT. HS(G)BANSILALPET, BANSILAL PET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
9,36221390136,"AIDED MAHABUB COLLEGE PS AIDED, OPP CHANDANA BROS,(R P ROAD)","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
10,36221390190,"GOVT. HS(B) YMCA SECBAD, OPP : YMCA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
11,36221390197,"GOVT. HS(G) NALLAGUTTA OLD, NALLAGUTTA OLD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
12,36221390185,"GOVT. HS AUDIA MEMORIA, OLD GHAS MANDI","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
13,36221392212,"AIDED TAGORES HOME AIDED, PARAMJYOTHI STREET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
14,36221390191,"GOVT. HS(G)KINGSWAY, R P ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
15,36221392209,"AIDED MAHBUBCLG HS AIDED, R P ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
16,36221390196,"GOVT. HS(B)KALASIGUDA, KALASIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
17,36221390171,"GOVT. PS NEW BOIGUDA, NEW BHOIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
18,36221390184,"GOVT. HS RASOOLPURA POLICE LINE, RASOOLPURA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
19,36221390103,"GOVT.PS(B)MEKALAMANDI, MEKALAMANDI","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
20,36221300132,"GOVT.JR.COLLEGE(NEW) , SECUNDERABAD,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
21,36221390193,"GOVT. HS MARKET, OLD ZAIL STREET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
22,36221392213,"AIDED KEYS HS(G) AIDED, GOPALPURAM","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
23,36221390127,"AIDED ST.PHILOMENA PS AIDED, NEW BHOIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
24,36221392208,"AIDED ST. THOMAS HS(B0 AIDED, GOPALPURAM","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
25,36221392201,"AIDED ST PHILOMENA HS AIDED, NEW BHOIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
26,36221390135,"AIDED ST.THOMAS PS(B) AIDED, REGIMENTAL BAZAR-WARD-9","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
27,36221392207,AIDED ST. FRANCIES HS(G) AIDED,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
28,36221390133,"AIDED TAGORE HOMES NEW ERA , PARAN JYOTHI ST","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
29,36221390129,"AIDED ST. ANTHONYS PS(G) AIDED, SUBHASH ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
30,36221390132,"AIDED ST.FRANCIS PS(G) AIDED, ST FRANCIES STREET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
31,36221390172,"AIDED ZIA UL ISLAM UPS AIDED, NALLAGUTTA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
32,36221300199,ZIA UL ISLAMIC HS UA (PVT),"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
33,36221390141,"ST. MARKS PROGRESSIVE SCHOOL, D V COLONY,MINISTER ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
34,36221392203,"AIDED STANTHONYS HS(G) AIDED, SUBHASH ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
35,36221390134,"AIDED KEYES PS AIDED, ST JOHAR ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
36,36221300175,SAI JUNIOR COLLEGE FOR BLIND BANSILALPET,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
37,36221300155,"MAHBUB JR.COLLEGE FOR BOYS , R.P ROAD.","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
38,36221300128,"SRI CHAITANYA JR COLLEGE , H.NO. 1-8-179, LICBUILDING, SECUNDERABAD,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
39,36221392251,"SRI SAIVANI VIDYA NIKETHN, OPP. USHA DIVISION OFFICE","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
40,36221300122,"SRI SARADA DEVI SISHU HS, SECBAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
41,36221300193,INFANT JESUS HSJ.P NAGAR,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
42,36221300166,"GITANJALI DEVSHALA,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
43,36221300165,"WESLEY COED HIGH SCHOOL, NEAR PARADISE","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
44,36221392234,"MAMTA HIGH SCHOOL, BEHIND ANAND THEATRE","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
45,36221300198,"ST THOMOS SPG HIGH SCHOOL, SEBASTIAN ROAD, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
46,36221392263,"OMSAI INDOENGLISH SCHOOL, RASOOLPURA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
47,36221392287,"VICTORY HIGH SCHOOL, MAYUR MARGH","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
48,36221392307,SRI CHAITANYA SCHOOL RAMGOPALPET,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
49,36221392219,"BAI RATANBAI J. CHARY PARKLINE, PARK LANE","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
50,36221392279,"BBS DEVNAR FOUNDATION(HS), MAYUR MARG","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
51,36221300189,"C S I EVA MAIR (VOC)JRC,SEC","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
52,36221300139,"ST.MARYS CENTENARY JR.COLLEGE , ST.FRANCIS STREET,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
53,36221390182,"DAWN BUDS MODEL SCHOOL, SHYAMLAL BUILDING","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
54,36221390199,"GUJARATHI HIGH SCHOOL , SECUNDERABAD, R P ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
55,36221392222,"ST.ANNS HIGH SCHOOL, S P ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
56,36221300178,"I CLASS CDR JRC,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
57,36221300184,"BHAVANS SRI AUROBINDO JRC,SEC","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
58,36221392308,AKSHARA SCHOOL BRAHMANWADI,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
59,36221392275,"GOWTHAM MODEL SCHOOL, CHIKOTI GARDENS","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
60,36221390140,"ST ANDREWS SCHOOL, MARREDPALLY","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
61,36221392306,CMS COMMERECE JUNIOR COLLEGE,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
62,36221392231,"ST.BRITTOS CO-EDN HIGH SCHOOL, RAMGOPALPET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
63,36221392214,"MAHARSHI VIDYANIKETHAN HIGH SCHOOL,BEGUMPET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
64,36221392220,"KOTHA YALLAIAH MEMORIAL HIGH SCHOOL, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
65,36221392230,"NATIONAL HIGH SCHOOL, BEGUMPET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
66,36221392297,"VIJAYA MORDERN SCHOOL, PRAKASAM NAGAR","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
67,36221392225,"KIRTHIS HIGH SCHOOL, OLD BHOIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
68,36221392228,"KASTHURBA HIGH SCHOOL, GUN BAZAR RASOLPURA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
