Seq No.,UDISE Code,School Name,School Location
1,36210700363,ZPHS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
2,36210700805,PRIZE THE SCHOOL YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
3,36210790206,ZPHS MACHABOLLARAM,"State : Telangana
District : MEDCHAL
Block : ALWAL"
4,36210700362,ZPHS KOWKOOR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
5,36210790208,AIDED LOYOLA ACADEMY JR COLLEGE ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
6,36210890218,ST PAULS MODEL HS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
7,36210890545,SRI SAI SARVANI VIDHYA PEET HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
8,36210890215,RAMAKRISHNA TALENT HS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
9,36210890249,st.pious x school prashanth nagar,"State : Telangana
District : MEDCHAL
Block : ALWAL"
10,36210700703,SADASHIVA SCHOOL MACHABOLLARAM,"State : Telangana
District : MEDCHAL
Block : ALWAL"
11,36210790223,BETHANY ACADEMY HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
12,36210700804,"INDUS UNIVAERSAL SCHOOL,YAPRAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
