Seq No.,UDISE Code,School Name,School Location
1,36210300217,"SR DIGI HS, NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
2,36210300107,ZPHS BACHUPALLY,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
3,36210300123,ZPHS PRAGATHI NAGAR,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
4,36210300122,NARAYANA E TECHNO SCHOOL NIZAMPET,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
5,36210300204,ZPHS NIZAMPET,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
6,36210300224,"GLORIOUS SCHOOL ,NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
7,36210300146,Aadhya Vidyalaya,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
8,36210300125,VIVEKANANDA HIGH SCHOOL(BACHUPALLY,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
9,36210300220,SPRING VALLEY HS,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
10,36210300108,"PRAGATHI VIDYA NIKETHAN, PRAGATHINAGAR","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
11,36210300212,ABHIJNA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
12,36210300223,"CASTLETOWN HIGH SCHOOL ,NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
13,36210300149,"SRI VISWA BHARATHI SCHOOL, RAJIV GANDHI NAGAR BP","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
14,36210300208,SRI RAJADHANI RESIDENTIAL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
15,36210300225,"CONQUISTE SCHOOL, NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
16,36210300112,VIKAS THE CONCEPT HS,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
17,36210300218,"ROYAL MODEL SCHOOL, NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
18,36210300219,"CRAYONS SCHOOL,NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
19,36210300214,LAURUS THE SCHOOL OF EXCELLENCE,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
20,36210300116,SILVER OAKS HS,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
21,36210300205,VIGNAN VIDYALAYAM,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
