Seq No.,UDISE Code,School Name,School Location
1,36210200414,SADHU VASWANI INTERNATIONAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
2,36210200806,AMBITUS WORLD SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
3,36210200313,"SRI VATASAL GURUKUL VIDYALAYA, DUNDIGAL","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
4,36210200607,"SRI SLOKA SCHOOL , GANDIMAISAMMA","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
5,36210200610,EDGEMONT THE GLOBAL SCHOOL D.POCHAMPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
6,36210200804,"GAYATHRI VIDYALAYAM, BOURAMPET .","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
7,36210200904,"ST MARYS SCHOOL, MALLAMPET","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
8,36210200507,N S K K HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
9,36210200716,SRI BHAVITHA PRIMARY SCHOOL BAHUDURPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
10,36210200704,THE CREEK PLANET SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
11,36210200703,ZPHS BAHADURPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
12,36210200606,VIVEKANANDA HIGH SCHOOL(GANDIMAISAMMA),"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
13,36210200312,"SRI CHAITANYA, KOMPALLY-3","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
14,36210200707,SHALOM CONCEPT SCHOOL BAHUDURPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
15,36210200608,PRAGATHI MODEL HS,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
16,36210200811,"DELHI PUBLIC SCHOOL, BOWRAMPET","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
17,36210200306,"KENDRIYA VIDYALAYAM NO.2, DUNDIGAL","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
