Seq No.,UDISE Code,School Name,School Location
1,36211100350,ZPHS KUSHAIGUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
2,36211100376,"PRAGATHI VIDYALAYA, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
3,36211100351,ZPHS KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
4,36211100108,ZPHS JAWAHARNAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
5,36211190260,"GITHAM JR COLLEGE, KAMALANAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
6,36211100121,MAHARSHI VIDYA NIKETHAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
7,36211100383,INDO-AMERICAN SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
8,36211100373,CRYSTAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
9,36211100354,OXFORD MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
10,36211190262,"VASUNDARA WOMENS JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
11,36211100109,ZPHS BALAJINAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
12,36211190247,GALAXY SCHOOL SAINIKPURY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
13,36211190248,ST ANNS THE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
14,36211100174,GOOD SHEPHERDS JAWAHAR NAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
15,36211100129,"NOBLE HIGH SCHOOL, JAWAHARNAGAR (CT)","State : Telangana
District : MEDCHAL
Block : KAPRA"
16,36211100337,ST ANTHONYS GRAMMAR SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
17,36211100348,KENEDY VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
18,36211100368,SAI SINDU GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
19,36211100355,GOPI MEMORIAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
20,36211100389,SRI VIDYA BHARATI MO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
21,36211190230,SRI SAI E LEARNING SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
22,36211100212,OXFORD SCHOOL CHERLAPALLY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
23,36211100387,"BHASHYAM HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
24,36211100362,"GOWTHAM MODEL SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
25,36211190263,"GEETHANJALI JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
26,36211100360,"VIJAYA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
27,36211100134,SUNRISE HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
28,36211100386,BHASHYAM HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
29,36211190215,SRI CHAITANYA TECHNO HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
30,36211190206,SRI SAI TALENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
31,36211100165,ST.JOSEPHS MISSIONA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
32,36211100143,EKALAVYA MEMORIAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
33,36211190237,ST JOSEPHS MODEL SCHOOL (HIGH SCHOOL),"State : Telangana
District : MEDCHAL
Block : KAPRA"
34,36211190207,AKSHARA PRIMARY SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
35,36211190224,MEDHA VIDYAMANDIR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
36,36211190228,SR DIGI HISH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
37,36211190252,RISE JR COLLEGE KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
38,36211190227,GOWTHAM MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
39,36211100113,JAWAHAR NAGAR PENION SCHO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
40,36211100353,PACE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
41,36211190254,"SRI ADARSH JR COLLEGE, KAMALANAGAR, ECIL","State : Telangana
District : MEDCHAL
Block : KAPRA"
42,36211190261,"NEW CHAITHANYA JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
43,36211190211,SERENITY MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
44,36211190214,"SR DIGI HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
45,36211190257,"SRI CHAITANYA JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
46,36211190253,"GOWTHAM JR COLLEGE, EXT.COUNTER, K GUDA","State : Telangana
District : MEDCHAL
Block : KAPRA"
47,36211100358,VISHWA BHARATHI ADARSHA V,"State : Telangana
District : MEDCHAL
Block : KAPRA"
48,36211100116,"GEETANJALI SCHOOL, BALAJINAGAR","State : Telangana
District : MEDCHAL
Block : KAPRA"
49,36211190250,"UNITIES(VOC) JR COLLEGE KAMALANAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
50,36211190208,VIVEKANANDA MODEL HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
51,36211190201,"RAVINDRA BHARATHI SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
52,36211190210,SADASHIVA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
53,36211100119,SAI TULASI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
54,36211190218,"SUNSHINE HIGH SCHOOL, SAIBABA NAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
55,36211190226,"KAKATIYA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
56,36211100356,HOLY MOTHER H.SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
57,36211100205,SRI SHIRIDI SAI VIDYANIKETHAN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
58,36211190251,TAPPERS JR COLLEGE SAINIK ENCLAVE KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
59,36211100204,SRI SAI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
60,36211100131,KGR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
61,36211100207,KRUPA VIGNAN SCIENTIFIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
62,36211190259,"NARAYANA JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
63,36211100382,CHAITANYA MODEL SCH,"State : Telangana
District : MEDCHAL
Block : KAPRA"
64,36211100375,M R R HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
65,36211100388,SRI SARASWATI SHISHU,"State : Telangana
District : MEDCHAL
Block : KAPRA"
66,36211100370,SRI NALANDA GRAMMER SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
67,36211100168,FATIMA MATHA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
68,36211190238,"GOUTHAMI HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
69,36211100361,SRI CHAKRI VIDYA NIKETHAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
70,36211100110,HOLY ZION SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
71,36211190233,FOSTER BILLA BONG HIGH SCHOOL(SAKETH),"State : Telangana
District : MEDCHAL
Block : KAPRA"
72,36211100391,"CENTRAL GOVT. ATOMIC ENERGY CEN-II, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
73,36211190209,NARAYANA E- TECHNO SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
74,36211190243,"SRI CHAITANAYA HIGH SCHOOL, KUSHAIGUDA","State : Telangana
District : MEDCHAL
Block : KAPRA"
75,36211190225,Dr. KKRs GOWTHAM CONSEPT SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
76,36211100363,CAL PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
77,36211190244,"OXFORD SCHOOL , DAMMAIGUDA","State : Telangana
District : MEDCHAL
Block : KAPRA"
78,36211100365,CENTRAL GOVT. ATOMIC ENERGY CENTRAL SCH,"State : Telangana
District : MEDCHAL
Block : KAPRA"
