Seq No.,UDISE Code,School Name,School Location
1,36211300610,"TSREIS BOYS,KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
2,36211300609,ZPHS KEESARA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
3,36211301409,ZPHS DAMMAIGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
4,36211301410,ZPHS NAGAWARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
5,36211301417,SERENITY MODEL HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
6,36211300504,ZPHS YADGARPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
7,36211300622,Moses International School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
8,36211300635,"SMART ACHIEVERS, KUSHAIGUDA","State : Telangana
District : MEDCHAL
Block : KEESARA"
9,36211300632,Tapovan School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
10,36211301437,"KAKATIYA SCHOOL, NAGARAM X ROAD","State : Telangana
District : MEDCHAL
Block : KEESARA"
11,36211301435,"ABIDE SCHOOL, DAMMAIGUDA","State : Telangana
District : MEDCHAL
Block : KEESARA"
12,36211300623,deccans pride school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
13,36211300625,pebble creek high school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
14,36211301416,ST.ANTHONYS GRAMMAR,"State : Telangana
District : MEDCHAL
Block : KEESARA"
15,36211300628,Green Woods School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
16,36211301406,ST JOHNS GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
17,36211301434,VANDANA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
18,36211301436,"KRANTHII KEEN SCHOOL,DAMMAIGUDA","State : Telangana
District : MEDCHAL
Block : KEESARA"
19,36211301442,MATHMAN SCHOOL NAGARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
20,36211301411,RUSHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
21,36211301438,"APPLE MODEL SCHOOL, DAMMAIGUDA","State : Telangana
District : MEDCHAL
Block : KEESARA"
22,36211300620,lorvens school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
23,36211301432,ST.PETERS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
24,36211301433,DHISHA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
25,36211300915,SR PRIME SCHOOL CHEERIYAL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
26,36211300506,VIGNANA VAANI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
27,36211300634,Matrix School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
28,36211300624,"little flower school, KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
29,36211300631,Sri Chaitanya School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
30,36211300627,bhashayam little champs,"State : Telangana
District : MEDCHAL
Block : KEESARA"
31,36211300621,bule bells school nagaram,"State : Telangana
District : MEDCHAL
Block : KEESARA"
32,36211301427,PUDAMI THE ENGLISH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
33,36211301431,RANKERS Pri. to HIGH SCHOOL NAGARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
34,36211300633,Academic Hights Public School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
35,36211301617,PUDAMI ENGLISH PRIMARIES,"State : Telangana
District : MEDCHAL
Block : KEESARA"
36,36211300906,VARDHANA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
37,36211301415,ST.MARY BETHONY CON,"State : Telangana
District : MEDCHAL
Block : KEESARA"
38,36211301440,"Santa Maria School, Nagram","State : Telangana
District : MEDCHAL
Block : KEESARA"
39,36211301616,SHANTHI NIKETAN SCH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
40,36211301612,Vignan Jyothi Model School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
41,36211300629,VMR Grammar High School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
42,36211300637,"SHRADDA JR COLLEGE, KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
43,36211300611,ARUNDATHI VIDYALAYA HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
44,36211301426,SHIVAPPA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
45,36211300614,PUDAMI THE N HS,"State : Telangana
District : MEDCHAL
Block : KEESARA"
46,36211301610,OM SRI MAHAKALI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
47,36211300636,DEVS (VOC) COLLEGE ANKIREDDYPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
48,36211300617,KLR JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : KEESARA"
49,36211300630,VMR Grammar School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
50,36211301619,"ST.JOSEPHS BETHANY NAVAJEEVAN, RAMPALLY","State : Telangana
District : MEDCHAL
Block : KEESARA"
51,36211300615,LOTUS NATIONAL HS,"State : Telangana
District : MEDCHAL
Block : KEESARA"
52,36211300616,ANISH COLLEGE OF COMMERCE,"State : Telangana
District : MEDCHAL
Block : KEESARA"
53,36211301506,LEAD INDIA BHARATHRATHNA SCHOOL AHMEDGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
54,36211300626,oak valeey school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
55,36211300914,SRI NARAYANA GLOBAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
56,36211301621,"JUBILEE HILLS PUBLIC SCHOOL, RAMPALLYDAIRA","State : Telangana
District : MEDCHAL
Block : KEESARA"
57,36211301620,"Reqelford International School ,Rampally","State : Telangana
District : MEDCHAL
Block : KEESARA"
58,36211301444,VIGNAN GLOBAL GEN SCHOOL NAGARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
59,36211301505,"St. Andrews School, Ahmed guda","State : Telangana
District : MEDCHAL
Block : KEESARA"
