Seq No.,UDISE Code,School Name,School Location
1,36210590237,"WISDOM HIGH SCHOOL (RG NAGAR, PRASHANTI NAGAR)","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
2,36210500482,"GOVT.JR.COLLEGE , KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
3,36210500221,ZPHS MOOSAPET (B),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
4,36210590233,smart kennedy school kukatpally,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
5,36210500126,ZPHS SHAMSHIGUDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
6,36210500131,ZPHS YELLAMMA BANDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
7,36210500449,ZPHS KUKATPALLY,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
8,36210500703,ZPHS HYDERNGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
9,36210500127,ZPHS RP COLONY,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
10,36210500302,RAJA RAM VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
11,36210500309,SRI SAI KRUPA VIDYANIKETAN HS (BORABANDA),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
12,36210590294,AL AHED SCHOOL RAJIVGANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
13,36210500222,ZPHS MOOSAPET (G),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
14,36210500353,MOUNAIN KIDS SCHOOL GAYATRINAGAR BORABANDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
15,36210500465,"NARAYANA CONCEPT SCHOOL, KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
16,36210500460,OXFORD GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
17,36210500455,PNM HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
18,36210500589,S.M. MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
19,36210500564,"ST, ALPHONSASHIGH SCHOOL","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
20,36210500711,NARAYANA SCHOOL HYDERNAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
21,36210590206,"SRI CHAITANYA HIGH SCHOOL, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
22,36210590222,RAOS HIGH SCHOLL JNTU,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
23,36210500592,SRI GAUTHAMI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
24,36210500586,"GEETHANJALI MODEL SCHOOL, KPHB COLONY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
25,36210500573,ROSARY HIGH SHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
26,36210500527,BHASHYAM HS (KPHB),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
27,36210500212,CAREWOOD CONCEPT SCHOOL (MOOSAPET),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
28,36210500595,Academic Heights Public School,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
