Seq No.,UDISE Code,School Name,School Location
1,36211000331,"SRI SAI SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
2,36211000523,SRI SHARADA VIDYA MANDIR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
3,36211000550,"SRI CHAITANYA SCHOOL, PEERZADIGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
4,36211000326,"MUDRA HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
5,36211000332,"PUDAMI THE ENGLISH PRIMARIES, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
6,36211000344,"LOTUS LAP HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
7,36211000345,MEDHA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
8,36211000549,ZPHS PEERZADIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
9,36211000313,ZPHS BODUPPAL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
10,36211000316,GRACE MISSION HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
11,36211000533,GEETHANJALI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
12,36211000606,"ST JOHNS HIGH SCHOOL, CHENGICHERLA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
13,36211000559,"ANITHA VOC JUNIOR COLLEGE,PEERZADAGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
14,36211000517,GYANA JYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
15,36211000564,BHAYAM UPPER PRIMAR SCHOOL PEERZADIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
16,36211000324,"BHOOPATHY HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
17,36211000610,BMRS Grammar School,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
18,36211000810,DIAMOND CRESCENT SCHOOL PARVATHAPUR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
19,36211000315,"NARAYANA CONCEPT HS, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
20,36211000330,OBEDIENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
21,36211000368,S R JUNIOR COLLEGE 59377,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
22,36211000405,"SRI SAI HIGH SCHOOL, MEDIPALLY","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
23,36211000557,S R JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
24,36211000530,SRI VIKAS CONCEPT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
25,36211000335,S R DIGI SCHOOL (HS)HEMANAGAR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
26,36211000411,ADARSH MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
27,36211000319,NEWTON GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
28,36211000520,SRI SAI VIDYA NIKETHAN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
29,36211000605,B M R S GRAMMER HS,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
30,36211000415,"SRI CHAITANAYA SCHOOL, SAINAGAR,MEDIPALLY","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
31,36211000361,Prashanti Vidya Niketan,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
32,36211000355,VIDYAA BHARATHI PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
33,36211000546,SPARK HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
34,36211000416,BACHPAN ACADEMIC HEIGHTS SCHOOL SY.NO:116 MEDIPALLY,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
35,36211000562,"Krishnaveni School, Peerzadiguda","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
36,36211000804,PADMASHREE HIGH SCHOOL BODUPPAL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
37,36211000376,THANISH SCHOOL HEMANAGAR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
38,36211000802,SAI VIKAS GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
39,36211000539,BHASHYAM PS,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
40,36211000350,GREEN WOODS SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
41,36211000317,J.G.R HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
42,36211000607,"ST PETERS SCHOOL, CHENGICHERLA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
43,36211000375,"St. Anns School, Bodupppal","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
44,36211000343,"SRI KRISHNAVENI SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
45,36211000329,SR DIGI SCHOOL BODUPPAL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
46,36211000547,GOWTHAM MODEL SCHOOL(PEERZADIGUDA),"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
47,36211000543,ANANDA JYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
48,36211000608,"VIDYA JYOTHI SCHOOL, CHENGICHERLA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
49,36211000328,SRI BRILLIANT TECHNO HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
50,36211000419,HOPE FOUNDATION SCHOOL CHENGICHERLA,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
