Seq No.,UDISE Code,School Name,School Location
1,36210490358,ZPHS SURARAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
2,36210490360,ZPHS GURUMURTYNGR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
3,36210490417,ZPHS NEHRU NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
4,36210490530,TSWREIS (G) ALWAL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
5,36210490362,ZPHS JAGADGIRINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
6,36210490402,ZPHS SURARAM COLONY,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
7,36210490361,ZPHS SHAPURNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
8,36210490365,ZPHS JEEDIMETLA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
9,36210490519,ST ANTHONYS HIGH SCHOOL(CHINTHAL),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
10,36210490408,ST MOSES HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
11,36210490496,PRIYADARSHINI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
12,36210490538,SIRI FUTURE KIDS SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
13,36210490257,Smaskruthi Vidyalaya,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
14,36210490341,DHATRAK PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
15,36210490329,ST.LUKES SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
16,36210490364,ZPHS GANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
17,36210490443,JANANI MODEL HIGH SC,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
18,36210490399,NEW LITTLE LILLY HIGH SCH,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
19,36210490374,TAGORES HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
20,36210490391,NAVA JYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
21,36210490471,VIKAS GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
22,36210490461,SHRI VIDYANJALI SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
23,36210490375,"NAGARJUNA HIGH SCHOOL, CHINTAL","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
24,36210490405,SRI VENUGOPALA SWAMY HIGH,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
25,36210490429,NETAJI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
26,36210490483,SHANTHINIKETHAN H.SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
27,36210490273,"Akshara Concept School, Bhavani Nagar","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
28,36210490233,SRI SAI VIGNAN HS (SHIRDI HILLS),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
29,36210490516,NARAYANA HIGH SCHOOL CHINTHAL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
30,36210490532,"PRATHIBA SCHOOL, KAISAR NAGAR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
31,36210490540,"ST JOSEPH SCHOOL, SUBASH CHANDRA BOSE NAGAR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
