Seq No.,UDISE Code,School Name,School Location
1,36210900902,KRISHNAVENI SCHOOL (BANDLAGUDA),"State : Telangana
District : MEDCHAL
Block : UPPAL"
2,36210900501,MPHS CHILKANAGAR,"State : Telangana
District : MEDCHAL
Block : UPPAL"
3,36210990357,ZPHS NAGOLE,"State : Telangana
District : MEDCHAL
Block : UPPAL"
4,36210990163,ZPHS MALLAPOR,"State : Telangana
District : MEDCHAL
Block : UPPAL"
5,36210990201,ZPHS UPPAL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
6,36210990356,ZPHS KOTHAPET,"State : Telangana
District : MEDCHAL
Block : UPPAL"
7,36210990382,TSWREIS SCHOOL (B) UPPAL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
8,36210990202,ZPHS RAMANTHAPUR,"State : Telangana
District : MEDCHAL
Block : UPPAL"
9,36210900904,"SRI CHAITANYA, SRINAGAR COLONY","State : Telangana
District : MEDCHAL
Block : UPPAL"
10,36210990223,"ST.JOHNS HIGH SCHOOL, UPPAL","State : Telangana
District : MEDCHAL
Block : UPPAL"
11,36210990375,VIGNAN JYOTHI GRAMMER HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
12,36210990234,CHAITANYA BHARATHI HIGH S,"State : Telangana
District : MEDCHAL
Block : UPPAL"
13,36210990208,ST.VENUS SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
14,36210990343,"GNANA SARASWATHI SCHOOL, NAGOLE","State : Telangana
District : MEDCHAL
Block : UPPAL"
15,36210990348,HARI HARA GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
16,36210990245,NGRI SCHOOL (HABSIGUDA),"State : Telangana
District : MEDCHAL
Block : UPPAL"
17,36210990435,CHRIST THE KING HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
18,36210900890,SWAMY VIVEKANANDA UPPER PR. (CHILKANAGAR),"State : Telangana
District : MEDCHAL
Block : UPPAL"
19,36210990425,"VASUNDHARA JR. COLLEGE FOR GIRLS, H.B COLONY","State : Telangana
District : MEDCHAL
Block : UPPAL"
20,36210990460,VAISHNAVI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
21,36210990384,Indira Schools (Raghavendra Nagar),"State : Telangana
District : MEDCHAL
Block : UPPAL"
22,36210900867,BABYS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
23,36210990390,SAI VIKAS SCHOOL (UPPAL VIJAYAPURI COL),"State : Telangana
District : MEDCHAL
Block : UPPAL"
24,36210990402,"SILVER JUBILEE JR. COLLEGE , HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
25,36210990232,"SRI SAI HIGH SCHOOL, RAMANTHAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
26,36210900905,"Sai Sri Chaitanya E Teachno School, Nagole","State : Telangana
District : MEDCHAL
Block : UPPAL"
27,36210901403,URBANE JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : UPPAL"
28,36210990215,ST GABRIALS EDL. HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
29,36210990388,KRISHNAVENI TALENT SCHOOL (VIVEK NAGAR),"State : Telangana
District : MEDCHAL
Block : UPPAL"
30,36210990212,UPPAL MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
31,36210990364,SADHANA TALENT SCHOO,"State : Telangana
District : MEDCHAL
Block : UPPAL"
32,36210990385,Page School (Bandlaguda),"State : Telangana
District : MEDCHAL
Block : UPPAL"
33,36210900705,"NEST THE SCHOOL, NFC MAIN ROAD H B COLONY","State : Telangana
District : MEDCHAL
Block : UPPAL"
34,36210990298,PARIJATHA GRAMMER H.S.,"State : Telangana
District : MEDCHAL
Block : UPPAL"
35,36210990165,ST.ANTHONYS GR HIGH SCHO,"State : Telangana
District : MEDCHAL
Block : UPPAL"
36,36210990169,ST. ANGELS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
37,36210990166,SHANKARA VIDYALAYA,"State : Telangana
District : MEDCHAL
Block : UPPAL"
38,36210900502,KRISHNAVENI HIGH SCHOOL (NEW MARUTHI NAGAR),"State : Telangana
District : MEDCHAL
Block : UPPAL"
39,36210990211,"KONARK SCHOOL, UPPAL","State : Telangana
District : MEDCHAL
Block : UPPAL"
40,36210990438,"KRISHNAVENI SCHOOL, UPPAL","State : Telangana
District : MEDCHAL
Block : UPPAL"
41,36210990370,"DISNEY LAND HIGH SCHOOL, UPPAL","State : Telangana
District : MEDCHAL
Block : UPPAL"
42,36210901402,GEETHANJALI JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : UPPAL"
43,36210990308,SRINIVAS RAO M H S,"State : Telangana
District : MEDCHAL
Block : UPPAL"
44,36210990217,SRI SAI SCHOOL (HABSIGUDA),"State : Telangana
District : MEDCHAL
Block : UPPAL"
45,36210990415,"NARAYANA JR. COLLEGE , RAMANTHAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
46,36210990174,MOTHER THERESA CO-EDN. H.S(MOULALI),"State : Telangana
District : MEDCHAL
Block : UPPAL"
47,36210900881,VISHWA SHANTHI SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
48,36210990182,MODERN SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
49,36210990318,"MOTHER THERESA MEMORIAL HIGH SCHOOL, MALLAPUR.","State : Telangana
District : MEDCHAL
Block : UPPAL"
50,36210990360,MASTERS GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
51,36210990191,"BRILLIANT GRAMMAR HIGH SCHOOL, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
52,36210990413,"NARAYANA JR. COLLEGE, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
53,36210990192,JOHNSON GRAMMAR SCHOOL SSC (HABSIGUDA),"State : Telangana
District : MEDCHAL
Block : UPPAL"
54,36210990404,"LITTLE FLOWER JR. COLLEGE , UPPAL","State : Telangana
District : MEDCHAL
Block : UPPAL"
55,36210990418,"SRI CHAITANYA JR KALASALA, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
56,36210990363,PRIYABHARATI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
57,36210900875,TEJASVI VIDYARANAYA,"State : Telangana
District : MEDCHAL
Block : UPPAL"
58,36210990244,ST JOSEPHS SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
59,36210990461,S R DIGI SCHOOL (ARUNODAYA NAGAR COLONY),"State : Telangana
District : MEDCHAL
Block : UPPAL"
60,36210990431,"NARAYANA - E - TECHNO SCHOOL ,RAMANTHAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
61,36210990381,Reyan School,"State : Telangana
District : MEDCHAL
Block : UPPAL"
62,36210990412,"MEGHA JR COLLEGE , RAMANTHAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
63,36210990445,SRI SAI CHAITANYA SCHOOL (NAGOLE),"State : Telangana
District : MEDCHAL
Block : UPPAL"
64,36210990152,SAI GANESH UP SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
65,36210990176,HOLY MOTHER CO-EDUCATION,"State : Telangana
District : MEDCHAL
Block : UPPAL"
66,36210900893,SRI VIDYA BHARATI SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
67,36210990409,"SRI CHAITANYA JR. COLLEGE , RAMANTHAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
68,36210990463,GLR NEW MODEL JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : UPPAL"
69,36210900402,"LAYOLA CONVENT SCHOOL, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
70,36210990181,ST.PAULS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
71,36210990437,RANKERS SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
72,36210990423,"SRI CHAITANYA JUNIOR KALASALA , NAGOLE","State : Telangana
District : MEDCHAL
Block : UPPAL"
73,36210990189,ST MATHEWS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
74,36210990372,"KENEDY HIGH SCHOOL, BANDLAGUDA, NAGOLE","State : Telangana
District : MEDCHAL
Block : UPPAL"
75,36210990261,VIDYA MODEL UP SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
76,36210990319,"S.R DIGI HIGH SCHOOL, NACHARAM","State : Telangana
District : MEDCHAL
Block : UPPAL"
77,36210990362,"ST.JOHNS HIGH SCHOOL, UPPAL-3","State : Telangana
District : MEDCHAL
Block : UPPAL"
78,36210990297,SHUBHAM PRIMARY SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
79,36210990380,keshava memorial school,"State : Telangana
District : MEDCHAL
Block : UPPAL"
80,36210990185,VIGNANA BHARATHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
81,36210990183,JHANSI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
82,36210990374,NAGARJUN MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
83,36210990256,S.V. MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
84,36210990210,ST.JOHNS HIGH SCHOOL (VIJAYAPURI COLONY),"State : Telangana
District : MEDCHAL
Block : UPPAL"
85,36210990452,"SRI CHAITANYA SCHOOL, MALLAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
