Seq No.,UDISE Code,School Name,School Location
1,36230803203,"SLOKA SCHOOL,MANNEGUDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
2,36230803007,ZPHS THATTIANNARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
3,36230800103,GOUREE CHANDRA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
4,36230802105,ZPHS ABDULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
5,36230802727,"KRISHNAVENI TALENT, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
6,36230802734,INDUS VALLEY INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
7,36230800207,LAYOLA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
8,36230803520,SATHYAM TECHNO HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
9,36230802724,BRILLIANT HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
10,36230803523,VYAS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
11,36230803412,SAI CHAITANYA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
12,36230800209,VEGESNA PADMAVATI SC,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
13,36230803507,RAJASREE VIDYA MANDIR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
14,36230800104,S.S.EXCELLENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
15,36230801505,SANKEERTH GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
16,36230800216,SUN RAYS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
17,36230802716,"ST. PAULS HIGH SCHOOL, KAMMAGUDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
18,36230801515,SRI VIJAYA SAI GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
19,36230802715,"LITTLE FLOWER GRAMMER SCH, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
20,36230802717,K B SAINIK HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
21,36230802738,BLISTON SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
22,36230800602,MAMATHA GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
23,36230802104,SRI SAI NIKETAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
24,36230802106,"NEW CHAITANYA HIGH SCHOOL, ABDULLAPUR","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
25,36230802307,MJPTBCWREIS RESIDENTIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
26,36230803409,INDIRA PUBLIC HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
27,36230803406,S.R EDUSMART MANTESSORI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
28,36230802730,LOYOLA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
29,36230801106,"NEW BRILLIANT MODEL SCHOOL, THARAMATIPET","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
30,36230801511,RAPHA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
31,36230803514,CANDOR SHRINE I SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
32,36230801516,SREE RAMANUJAN TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
33,36230802614,NEELAKANTH VIDYAPEETH RESIDENTIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
34,36230802732,SANKALP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
35,36230802739,MJPTBCWRS G CHANDRAYAN GUTTA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
